coverage,width,winkler,n,n_missing,series,model
0.9523480662983426,5.2097424979353155,7.11675325465449,1448,0,SP500,TCP
0.9530386740331491,5.217105437003865,7.115654204824993,1448,0,SP500,TCP-RM
0.9509668508287292,5.176066269023682,7.11490420515154,1448,0,SP500,CQR
0.944060773480663,5.216317564889747,6.943052466099231,1448,0,SP500,ACI-fixed
0.8736187845303868,3.7894194556182037,9.298035144901853,1448,0,SP500,Reversed-sign-control
0.837707182320442,3.160880479036429,9.723961881645646,1448,0,SP500,QR-base
0.949585635359116,4.606766797834576,6.143535521675868,1448,0,SP500,GARCH-t
0.9468232044198895,4.494014302735474,5.993727085289687,1448,0,SP500,FHS
0.9482044198895028,4.528475032862782,6.005404213163405,1448,0,SP500,GARCH-EVT
0.9433701657458563,4.4752394379422045,6.40337858159917,1448,0,SP500,RiskMetrics
0.9316298342541437,5.07048450850894,8.667926756275826,1448,0,SP500,Hist
0.8266574585635359,3.1012473506892704,7.449180998360285,1448,0,SP500,Fixed-coefficient-control
0.9502762430939227,4.556416195602349,6.165502844806064,1448,0,FTSE,TCP
0.9502762430939227,4.559084547058443,6.165511304622618,1448,0,FTSE,TCP-RM
0.9502762430939227,4.547513047185545,6.185486231388016,1448,0,FTSE,CQR
0.944060773480663,4.533553045478109,5.945096610449951,1448,0,FTSE,ACI-fixed
0.8535911602209945,3.1443281558884286,7.763648109700847,1448,0,FTSE,Reversed-sign-control
0.8328729281767956,2.840033146508816,8.2028952676328,1448,0,FTSE,QR-base
0.9516574585635359,3.838456195911758,5.47692254894333,1448,0,FTSE,GARCH-t
0.9454419889502762,3.7248190433932225,5.460793367164566,1448,0,FTSE,FHS
0.9488950276243094,3.7884244515754135,5.449638973716827,1448,0,FTSE,GARCH-EVT
0.93853591160221,3.734179840509966,5.609288638864654,1448,0,FTSE,RiskMetrics
0.9426795580110497,4.007002332005998,6.522189214872762,1448,0,FTSE,Hist
0.8335635359116023,2.5916574287324954,6.515239187111381,1448,0,FTSE,Fixed-coefficient-control
0.949585635359116,5.805921699774738,7.408518440816369,1448,0,N225,TCP
0.9488950276243094,5.813264003310444,7.408400862644385,1448,0,N225,TCP-RM
0.949585635359116,5.798778115783087,7.410642823187205,1448,0,N225,CQR
0.9419889502762431,5.714475505080993,7.1825348707650685,1448,0,N225,ACI-fixed
0.8535911602209945,3.9577799611153943,9.207606081538165,1448,0,N225,Reversed-sign-control
0.8280386740331491,3.5741021593833815,9.576644189347027,1448,0,N225,QR-base
0.9392265193370166,4.96952599921377,6.975234091540818,1448,0,N225,GARCH-t
0.93853591160221,4.957496732412117,7.031780267585957,1448,0,N225,FHS
0.9406077348066298,5.015790099607093,7.0377786553794275,1448,0,N225,GARCH-EVT
0.9261049723756906,4.980288039946192,7.099000947211471,1448,0,N225,RiskMetrics
0.9330110497237569,5.06727040141834,8.063855983765945,1448,0,N225,Hist
0.8218232044198895,3.475001985886135,8.808523788139222,1448,0,N225,Fixed-coefficient-control
0.949585635359116,5.3967317033808415,7.241705151703342,1448,0,DAX,TCP
0.949585635359116,5.399259953951494,7.241591768386521,1448,0,DAX,TCP-RM
0.949585635359116,5.376530674341791,7.22945932266581,1448,0,DAX,CQR
0.9426795580110497,5.402247593664856,7.024971567336506,1448,0,DAX,ACI-fixed
0.8604972375690608,3.6900572622157948,9.403494743093896,1448,0,DAX,Reversed-sign-control
0.830110497237569,3.2907521194955835,10.022568902339701,1448,0,DAX,QR-base
0.9502762430939227,4.7734534092751275,6.756670693656539,1448,0,DAX,GARCH-t
0.9488950276243094,4.818426019894626,6.712853456202186,1448,0,DAX,FHS
0.9516574585635359,4.8442890366501645,6.715169339660052,1448,0,DAX,GARCH-EVT
0.9316298342541437,4.577919395417047,6.746065245195914,1448,0,DAX,RiskMetrics
0.9247237569060773,4.818954864838368,8.059815286475278,1448,0,DAX,Hist
0.8321823204419889,3.1879979186680796,8.134604559912948,1448,0,DAX,Fixed-coefficient-control
0.9537292817679558,20.887893884414442,27.98464770211386,1448,0,BTC-USD,TCP
0.9537292817679558,20.885889982554797,27.985146182073624,1448,0,BTC-USD,TCP-RM
0.9537292817679558,20.88153283423582,28.00750735466428,1448,0,BTC-USD,CQR
0.9447513812154696,21.145551180475756,28.783915673999957,1448,0,BTC-USD,ACI-fixed
0.8874309392265194,16.35285447415303,30.50444213258358,1448,0,BTC-USD,Reversed-sign-control
0.8549723756906077,12.759370471679338,31.910767864440754,1448,0,BTC-USD,QR-base
0.9412983425414365,16.610131473157335,26.19795449148251,1448,0,BTC-USD,GARCH-t
0.9447513812154696,17.936425983007712,26.350823111318043,1448,0,BTC-USD,FHS
0.9454419889502762,18.15201441815678,26.350766385815295,1448,0,BTC-USD,GARCH-EVT
0.9343922651933702,16.16502602945569,26.314065861559236,1448,0,BTC-USD,RiskMetrics
0.9433701657458563,17.999905319577703,26.529443637265555,1448,0,BTC-USD,Hist
0.8542817679558011,11.164927188060542,30.14094800168236,1448,0,BTC-USD,Fixed-coefficient-control
0.9509668508287292,26.39623090745588,36.27025384682677,1448,0,ETH-USD,TCP
0.9509668508287292,26.400420542235373,36.2706235793929,1448,0,ETH-USD,TCP-RM
0.9509668508287292,26.364293903009344,36.30947856758376,1448,0,ETH-USD,CQR
0.9468232044198895,26.75265329081743,37.39614472701483,1448,0,ETH-USD,ACI-fixed
0.8743093922651933,20.27784954752162,41.42993569699379,1448,0,ETH-USD,Reversed-sign-control
0.8570441988950276,16.332844749852317,41.11047104551382,1448,0,ETH-USD,QR-base
0.9516574585635359,22.839149343776914,33.35950617459253,1448,0,ETH-USD,GARCH-t
0.9482044198895028,22.933745786227274,33.760721890890444,1448,0,ETH-USD,FHS
0.9509668508287292,23.196217272572017,33.594260217119135,1448,0,ETH-USD,GARCH-EVT
0.9302486187845304,20.632295316589573,33.68750584712771,1448,0,ETH-USD,RiskMetrics
