t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
272,2019-01-23,-0.09150689527233105,0.0372027478760434,0.09645832207689432,0.9035416779231057,3.5722360777957265,1.0,1,0,3,272,-808.0313289938032,4,0,accepted,0,1
297,2019-03-01,-0.0914827912107411,0.0677503126600149,0.11248250260144906,0.8875174978130517,3.260044492729855,1.0000000004145007,1,0,2,297,-864.3013902409205,5,0,accepted,0,1
322,2019-04-08,0.01924417106459628,0.12170455389356336,0.1127927560393165,0.8872072439606872,3.076685157256333,1.0000000000000038,1,0,3,322,-918.8768906144552,5,0,accepted,0,1
347,2019-05-24,0.052560529572292264,0.14087708233556787,0.11235819442114706,0.887641805578853,3.099739951788602,1.0,1,0,1,347,-996.2097872789833,5,0,accepted,0,1
372,2019-07-02,0.07805166174498834,0.16733566639591702,0.12090669545708475,0.8790933045429151,3.2893006660464343,0.9999999999999999,1,0,3,372,-1081.7357893704052,5,0,accepted,0,1
397,2019-08-08,0.091397784485449,0.17326723931261165,0.12074832875211321,0.8792516712478868,3.2605606182452345,1.0,1,0,5,397,-1164.2763850944993,5,0,accepted,0,1
422,2019-09-18,0.06269948023803076,0.16660238590002494,0.12024966424772879,0.8797503357522714,3.213163513516679,1.0000000000000002,1,0,3,422,-1231.8157784891994,5,0,accepted,0,1
447,2019-10-29,0.042326851510803454,0.1967706753542983,0.11494053769833773,0.8850594623016622,3.0998737119147846,1.0,1,0,1,447,-1304.479152509266,5,0,accepted,0,1
472,2019-12-05,-0.00715866806174893,0.18596322121176903,0.10811425527772252,0.8918857447222774,3.063375408392206,1.0,1,0,1,472,-1367.096935166193,5,0,accepted,0,1
497,2020-01-22,-0.00032385797530359097,0.22499295680619089,0.10701334802470568,0.8929866532154362,3.051993887667481,1.000000001240142,1,0,2,497,-1434.2412865277834,5,0,accepted,0,1
522,2020-03-02,-0.012867154898858096,0.2400788291143712,0.10436942697309126,0.895630573145499,3.0442294789903888,1.0000000001185902,1,0,5,522,-1496.694216975085,5,0,accepted,0,1
547,2020-04-07,0.006194445046487586,0.3871439730232011,0.10670233352280892,0.893297666628561,2.873091705082804,1.00000000015137,1,0,2,547,-1582.9614624031983,5,0,accepted,0,1
572,2020-05-27,0.02000663669003427,0.36989049590975537,0.10414835427635345,0.8958516457236466,2.8836068443049223,1.0,1,0,4,572,-1661.7927635357921,5,0,accepted,0,1
597,2020-07-02,0.019697399879091033,0.4195723424027109,0.12116039098328915,0.8788396090174044,2.856044009410438,1.0000000000006937,1,0,2,597,-1716.0938302489621,5,0,accepted,0,1
622,2020-08-12,0.03013434935245619,0.3796398290197321,0.1144054300513902,0.8855945699486099,2.8112077776551625,1.0,1,0,3,622,-1771.9223314238784,5,0,accepted,0,1
647,2020-09-18,0.04858768444217383,0.44000138057144694,0.11494818305181088,0.8850518169477881,2.7999916640867166,0.999999999999599,1,0,2,647,-1835.4987157305072,5,0,accepted,0,1
672,2020-10-28,0.08809357759301656,0.46614882582226247,0.11237703489474828,0.8876229651052581,2.7805860146031898,1.0000000000000064,1,0,5,672,-1896.665689764025,5,0,accepted,0,1
697,2020-12-07,0.11647055130591073,0.5536557758889235,0.11422709944408115,0.885772900555919,2.764860427522026,1.0,1,0,4,697,-1969.5070120005048,5,0,accepted,0,1
722,2021-01-21,0.136678283419205,0.582512370195809,0.12158870106716319,0.8784112989330244,2.8204372428671105,1.0000000000001876,1,0,2,722,-2056.084810146693,5,0,accepted,0,1
747,2021-03-02,0.1459113228702339,0.5013410818342133,0.11594684839121501,0.8840531516173128,2.8761921430130615,1.0000000000085278,1,0,2,747,-2141.203297074554,5,0,accepted,0,1
772,2021-04-08,0.13343575349608033,0.4929135666346403,0.1166431817393253,0.8833568182602427,2.8853280122775966,0.999999999999568,1,0,2,750,-2131.676760766164,5,0,accepted,0,1
797,2021-05-19,0.13891892792719565,0.6273355367953762,0.11809952220751549,0.8819004777908566,2.8017287464704066,0.9999999999983721,1,0,2,750,-2116.5151695576815,5,0,accepted,0,1
822,2021-06-25,0.13862013361961803,0.7511420160972251,0.1264482245926913,0.8735517754073164,2.780831493267655,1.0000000000000078,1,0,4,750,-2113.1573472037285,5,0,accepted,0,1
847,2021-08-04,0.1268707561549587,0.7689740152469686,0.13295543283014474,0.867044567166089,2.8188165276697825,0.9999999999962338,1,0,4,750,-2113.7689934662667,5,0,accepted,0,1
872,2021-09-13,0.1549108354771703,0.745149412646118,0.12554765746514274,0.8744523425348574,2.818713045192661,1.0,1,0,5,750,-2114.5557853201644,5,0,accepted,0,1
897,2021-10-20,0.1821955881576356,0.671446903472999,0.12122595896155446,0.8787740410384428,2.853726386825136,0.9999999999999972,1,0,2,750,-2121.481334269619,5,0,accepted,0,1
922,2021-11-29,0.16677309091175732,0.6258303108126456,0.11791445148341827,0.8820855485158531,2.8790174659241536,0.9999999999992714,1,0,2,750,-2118.879375198634,5,0,accepted,0,1
947,2022-01-11,0.13925229455178045,0.652629451908483,0.11340309531080146,0.8865969051134353,2.8543068954820874,1.0000000004242366,1,0,2,750,-2124.1991301110684,5,0,accepted,0,1
972,2022-02-17,0.15705853021399205,1.2301146561538854,0.12251905340586813,0.8774809465941319,2.6837263449300166,1.0,1,0,1,750,-2141.9640435743813,5,0,accepted,0,1
997,2022-03-29,0.1987358435192383,0.8211690962018784,0.10573690501808176,0.8942630949819259,2.8180814453033673,1.0000000000000078,1,0,2,750,-2142.2277520085945,5,0,accepted,0,1
1022,2022-05-12,0.1787288055042942,0.7811474626829887,0.08891715720667584,0.9110828427933242,2.7744977343468604,1.0,1,0,3,750,-2136.942903559794,5,0,accepted,0,1
1047,2022-06-22,0.20629935753741638,1.0979540638882124,0.09117576452406212,0.9088242354759379,2.6787908751550513,1.0,1,0,3,750,-2158.932943795493,5,0,accepted,0,1
1072,2022-07-29,0.19000485755141547,1.296945864429482,0.08063310011485339,0.8996632772392922,2.8543592544772856,0.9802963773541455,1,0,5,750,-2177.511722672596,5,0,accepted,0,0
1097,2022-09-07,0.12815002859468366,1.2872069038216978,0.0804093403810105,0.8959611933762631,2.8769632021107445,0.9763705337572737,1,0,3,750,-2165.347701305918,5,0,accepted,0,0
1122,2022-10-17,0.0896595199883155,1.0975655033099547,0.06698117191337258,0.9080984408762794,2.852430094285876,0.975079612789652,1,0,1,750,-2144.2899047464425,5,0,accepted,0,0
1147,2022-11-22,0.06033888242396546,1.2413253558261157,0.08046455893909342,0.9061241094445243,2.6841662399968205,0.9865886683836177,1,0,4,750,-2131.321477514749,5,0,accepted,0,0
1172,2023-01-04,0.0783127821577989,1.3147523135851713,0.09766385856993576,0.9023361414300642,2.5707324309038837,1.0,1,0,5,750,-2119.165208900453,5,0,accepted,0,1
1197,2023-02-10,0.1267734194813915,1.1744854777618108,0.08775637304751907,0.892663347589582,2.848302744828849,0.980419720637101,1,0,2,750,-2108.7433490613294,5,0,accepted,0,0
1222,2023-03-22,0.1725818598736109,1.2820446600195126,0.09005018870854264,0.8936933150839943,2.761448688370264,0.9837435037925369,1,0,4,750,-2120.471259897645,5,0,accepted,0,0
1247,2023-04-28,0.17580862959406351,1.338408343694516,0.09594108702153416,0.8906064844945735,2.7106276373245572,0.9865475715161076,1,0,2,750,-2117.636445507384,5,0,accepted,0,0
1272,2023-06-12,0.1491936449571528,1.31887789660028,0.10127022643530613,0.8835952036979893,2.750855511624521,0.9848654301332954,1,0,4,750,-2114.560976052227,5,0,accepted,0,0
1297,2023-07-20,0.15255815795033933,0.7150834096436942,0.08273227297626257,0.9028506105135791,3.0829825011436194,0.9855828834898417,1,0,3,750,-2088.4735826804754,5,0,accepted,0,0
1322,2023-08-25,0.1104586082581252,0.1072603256290779,0.041469479490586963,0.9585305205123805,3.2058455299109916,1.0000000000029674,1,0,2,750,-2053.5651803768674,5,0,accepted,0,1
1347,2023-10-04,0.10007549577514953,0.12491870469998455,0.043891829316895864,0.9561081706831347,3.1540728073195803,1.0000000000000306,1,0,1,750,-2054.9463064846896,5,0,accepted,0,1
1372,2023-11-10,0.13675933103160512,0.118358016379724,0.044664019294613874,0.9553359807131643,3.2516119416635667,1.0000000000077782,1,0,2,750,-2057.5842523693573,5,0,accepted,0,1
1397,2023-12-18,0.1299035133705986,0.1902009482280406,0.05244899288118951,0.9475510071188101,3.182519772694129,0.9999999999999997,1,0,5,750,-2062.724026784098,5,0,accepted,0,1
1422,2024-01-31,0.10153251098266179,0.07011663947627403,0.035199604819031366,0.9648003951809686,3.2970660981559528,1.0,1,0,5,750,-2062.2360546896966,5,0,accepted,0,1
1447,2024-03-11,0.16713304389898453,0.018292461722720536,0.0,0.9965511477962665,3.7491292755874457,0.9965511477962665,1,0,5,750,-2055.2901853776566,5,1,fallback,0,0
1472,2024-04-18,0.08333662669988577,0.1044874537325274,0.03102901066200388,0.9661311846551319,3.3336202323132027,0.9971601953171358,1,0,5,750,-2047.0235111020775,5,0,accepted,0,0
1497,2024-05-30,0.07065972838233087,0.1487701207852312,0.039635301769764375,0.9563524184707323,3.44785545163212,0.9959877202404966,1,0,4,750,-2030.1807002510718,5,0,accepted,0,0
1522,2024-07-08,0.028478111087731742,0.11554550179325661,0.03274014586712892,0.9636520116934472,3.360241171620413,0.9963921575605761,1,0,2,750,-2019.9662175379453,5,0,accepted,0,0
1547,2024-08-14,0.029809402754438354,0.12439256463836271,0.018986876763252312,0.9733959772285086,3.3888705652802043,0.9923828539917608,1,0,4,750,-2013.3503350319047,5,0,accepted,0,0
1572,2024-09-24,0.030250395100186508,0.1575453230107628,0.026790005476596705,0.965348874704485,3.3320623111651386,0.9921388801810818,1,0,3,750,-1994.073875436071,5,0,accepted,0,0
1597,2024-10-30,0.05644400762714678,0.21817477193151455,0.027726322903534904,0.9590055481394305,3.443299009883946,0.9867318710429654,1,0,3,750,-1979.964657548168,5,0,accepted,0,0
1622,2024-12-06,0.05125123637363988,0.2168430572996981,0.023771275141281707,0.9648329873719002,3.15602060311476,0.9886042625131819,1,0,1,750,-1974.9466439164758,5,0,accepted,0,0
1647,2025-01-24,0.016960405742015627,0.36303952580565507,0.02704434280470485,0.9514434180347539,3.2335965923177508,0.9784877608394587,1,0,2,750,-1967.1729985296965,5,0,accepted,0,0
1672,2025-03-05,0.020860163011208785,0.41266550589647333,0.031933141149915155,0.9464613389260267,3.0366348280006386,0.9783944800759419,1,0,1,750,-1953.0647750132339,5,0,accepted,0,0
1697,2025-04-10,0.04329988312961371,0.5932252342383117,0.03648605993258847,0.9337369213426442,2.9885942373770367,0.9702229812752327,1,0,3,750,-1954.0929916638115,5,0,accepted,0,0
