t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
272,2019-01-23,-0.004770752932480223,0.4493377934501113,0.15714236557011424,0.4053456638398591,8.11125241499854,0.5624880294099733,1,0,2,272,-379.19869346989015,4,0,accepted,0,0
297,2019-03-01,0.018821956584252914,0.4206051188255701,0.1661136258415886,0.42958431581756756,6.845419653801311,0.5956979416591561,1,0,1,297,-412.86297110753105,5,0,accepted,0,0
322,2019-04-08,0.040779474097611415,0.41731535671077125,0.18990035440258968,0.403944778958435,6.739739645696276,0.5938451333610246,1,0,1,322,-443.30106481273754,5,0,accepted,0,0
347,2019-05-24,0.041963017186561195,0.3763090003232471,0.19074732014227258,0.4440365160445159,7.321261315201406,0.6347838361867885,1,0,4,347,-478.1732075902097,5,0,accepted,0,0
372,2019-07-02,0.051457423831147944,0.36602780133267077,0.16660346682901245,0.465887258077009,7.2512426128494445,0.6324907249060214,1,0,5,372,-509.2951900334716,5,0,accepted,0,0
397,2019-08-08,0.03539633792229472,0.3470640840255526,0.14169994705129266,0.5134746311342323,6.78373427070254,0.6551745781855249,1,0,2,397,-545.6776894131615,5,0,accepted,0,0
422,2019-09-18,0.052604503724246326,0.2917923598545312,0.13996391308794331,0.5685297012225777,7.4696419874725795,0.708493614310521,1,0,4,422,-580.4914629677754,5,0,accepted,0,0
447,2019-10-29,0.06563267908535587,0.29916294895125084,0.14184550153006126,0.5646011317279829,6.645205073331268,0.7064466332580441,1,0,2,447,-615.6396240541137,5,0,accepted,0,0
472,2019-12-05,0.07012239856530228,0.2683844797218758,0.15513395647846323,0.5803293079658416,6.099591435364464,0.7354632644443049,1,0,2,472,-641.500574865114,5,0,accepted,0,0
497,2020-01-22,0.07581507773012797,0.255564281559645,0.160325733665177,0.578738545776576,6.153231093386784,0.739064279441753,1,0,5,497,-666.9206911448314,5,0,accepted,0,0
522,2020-03-02,0.07520522495840277,0.2599699972126013,0.18543414915735948,0.5883644234209533,5.216918192088488,0.7737985725783127,1,0,2,522,-718.6397092800835,5,0,accepted,0,0
547,2020-04-07,0.07341521735686304,0.1328227258273067,0.157029530735575,0.760861717302731,4.404098452999486,0.917891248038306,1,0,3,547,-795.7778301983108,5,0,accepted,0,0
572,2020-05-27,0.07242471896897874,0.09009252856164893,0.12306495238474395,0.8249433159174447,4.476207857749044,0.9480082683021887,1,0,1,572,-852.9048315115479,5,0,accepted,0,0
597,2020-07-02,0.07088368544175563,0.07636984507536049,0.11172343969574587,0.8460179461674077,4.496375549415357,0.9577413858631535,1,0,1,597,-906.3503439122806,5,0,accepted,0,0
622,2020-08-12,0.07236657659086403,0.06522275298232257,0.09566317148666938,0.8683641496453576,4.50830521021937,0.9640273211320269,1,0,1,622,-951.1210105578298,5,0,accepted,0,0
647,2020-09-18,0.06974220004002056,0.06519341752618048,0.091736750830229,0.8700982972122742,4.556802462178746,0.9618350480425032,1,0,1,647,-987.6316593684899,5,0,accepted,0,0
672,2020-10-28,0.061372026695219975,0.0603315413225779,0.08049486157363474,0.8869641474866589,4.331893053224839,0.9674590090602936,1,0,3,672,-1034.4954881881636,5,0,accepted,0,0
697,2020-12-07,0.07302843444489587,0.09416633106786923,0.11683420289620738,0.8371250467962699,4.040414154541221,0.9539592496924773,1,0,4,697,-1079.0915139143292,5,0,accepted,0,0
722,2021-01-21,0.07887789510528148,0.10419872600166458,0.12422761003373302,0.8248545679880233,4.035890246772644,0.9490821780217563,1,0,4,722,-1116.9342552521357,5,0,accepted,0,0
747,2021-03-02,0.07644979905223358,0.10779324667324285,0.12731294440233107,0.8177033104992735,4.165747044729954,0.9450162549016046,1,0,4,747,-1153.0101241569105,5,0,accepted,0,0
772,2021-04-08,0.09466565432742814,0.11412930390080084,0.12958364678738588,0.813985099296647,3.983556817494692,0.9435687460840328,1,0,2,750,-1160.6270625818872,5,0,accepted,0,0
