t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
272,2019-01-23,-0.3917164887663326,11.904607420219433,0.19976503389131983,0.7294278973864037,2.6870628487907005,0.9291929312777235,1,0,3,272,-902.9887579825622,4,0,accepted,0,0
297,2019-03-01,-0.37292219967083556,12.882165532268383,0.26708472144213674,0.7329152785578633,2.44457097050217,1.0,1,0,3,297,-974.7841482836486,5,0,accepted,0,1
322,2019-04-08,-0.2780693975750566,6.92788314687923,0.2218417162018434,0.7781582837981568,2.52800575428576,1.0000000000000002,1,0,2,322,-1041.626506726652,5,0,accepted,0,1
347,2019-05-24,-0.22913009851905988,8.449249377716662,0.2521233114627153,0.7478766885372847,2.5303844497252084,1.0,1,0,2,347,-1122.0969177812167,5,0,accepted,0,1
372,2019-07-02,-0.13764103284981172,8.480664354341078,0.257057618960858,0.7429423810391419,2.5704706599260065,0.9999999999999999,1,0,1,372,-1200.1760503946648,5,0,accepted,0,1
397,2019-08-08,-0.14581071958671987,15.000265320444862,0.3240431024298444,0.6759568975701556,2.4307108026877104,1.0,1,0,3,397,-1279.618747035939,5,0,accepted,0,1
422,2019-09-18,-0.20469725253701646,14.85924068611785,0.3045184411159622,0.6954815588840377,2.4065612582143863,1.0,1,0,5,422,-1355.3606660744013,5,0,accepted,0,1
447,2019-10-29,-0.1926297513483178,18.418872142102327,0.30179454783783555,0.6907956216808392,2.3331671625452133,0.9925901695186747,1,0,4,447,-1430.8427675676412,5,0,accepted,0,0
472,2019-12-05,-0.23707444154179597,12.519106483527207,0.2902405118298323,0.7097594881701679,2.3921325598885264,1.0000000000000002,1,0,1,472,-1494.5125055011379,5,0,accepted,0,1
497,2020-01-22,-0.2194248403216325,12.128573977068696,0.2831322065136943,0.7168677934863057,2.3798957990023166,1.0,1,0,2,497,-1566.4706961840702,5,0,accepted,0,1
