t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
272,2019-01-23,-0.007371380661957743,0.21273900288913322,0.0,0.03389969536241092,10.412441713374402,0.03389969536241092,1,0,1,272,-177.8574346115156,4,1,fallback,0,0
297,2019-03-01,-0.006591929595464621,0.0352785149574463,5.3190588362029314e-12,0.8333130920537326,10.212049588828929,0.8333130920590517,1,0,5,297,-188.3941073787284,5,1,fallback,0,0
322,2019-04-08,-0.011102994275414982,3.94098187520151e-07,8.787335649359693e-14,0.9988635747459312,10.956041629912438,0.9988635747460191,1,0,1,322,-195.61494644137719,5,1,fallback,0,0
347,2019-05-24,-0.014457781929660636,1.9485047203907675e-09,0.009788109667956254,0.9878013871882689,9.408305657051166,0.9975894968562252,1,0,3,347,-198.79834157889837,5,0,accepted,0,0
372,2019-07-02,-0.006168663162195823,1.8920070315374977e-09,0.006514960844740532,0.9912959947717394,10.070158579736372,0.9978109556164799,1,0,1,372,-207.15718623689642,5,0,accepted,0,0
397,2019-08-08,-0.01143778465018023,1.8726462784466885e-09,1.6356046798715177e-13,0.9984793103094951,9.667090007613135,0.9984793103096586,1,0,3,397,-218.9562876635428,5,1,fallback,0,0
422,2019-09-18,-0.017183127777114796,1.8122942021624084e-09,0.003314506387118423,0.9947292731438142,8.912989511961346,0.9980437795309326,1,0,4,422,-223.7259424061435,5,0,accepted,0,0
447,2019-10-29,-0.01263690942651064,6.18681867762614e-08,1.592789280365464e-05,0.9983075221856444,10.38102332466329,0.9983234500784481,1,0,3,447,-230.93368762097026,5,0,accepted,0,0
472,2019-12-05,-0.011420089435640907,1.701602892835018e-09,0.005636702601604139,0.9920876330661911,9.330001612772664,0.9977243356677952,1,0,4,472,-231.21180497773545,5,0,accepted,0,0
497,2020-01-22,-0.01036430150977646,1.6664765959325837e-09,0.0025415193438096807,0.9954250686339516,10.551253189672632,0.9979665879777613,1,0,4,497,-238.7789608964534,5,0,accepted,0,0
522,2020-03-02,-0.018322894516882456,1.3462983327831813e-05,0.00011334872245862687,0.9983059393881178,8.320468101517086,0.9984192881105765,1,0,3,522,-247.70978384600727,5,0,accepted,0,0
547,2020-04-07,-0.014908018961836982,0.0020989246416668315,0.046481999236006946,0.9453154013523454,7.255135261836259,0.9917974005883523,1,0,3,547,-290.19133317140984,5,0,accepted,0,0
572,2020-05-27,-0.01412314850717213,0.003155425850027854,0.04480875362479163,0.9391014738777914,7.424148315050045,0.9839102275025831,1,0,1,572,-307.6510824318747,5,0,accepted,0,0
597,2020-07-02,-0.010836664205200998,0.0027263950374089596,0.041740848198647484,0.9441353445394547,7.883181309633724,0.9858761927381021,1,0,3,597,-325.6022679535732,5,0,accepted,0,0
622,2020-08-12,-0.006100625997579716,0.0022834542184923872,0.04210244542579019,0.947229982903369,8.401759471868417,0.9893324283291592,1,0,4,622,-348.02017030034915,5,0,accepted,0,0
