t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
272,2019-01-23,0.014161340267421241,0.3626668135636081,0.24301456678686142,0.23153023816711663,6.493205515253038,0.47454480495397805,1,0,4,272,-317.80664794589825,4,0,accepted,0,0
297,2019-03-01,0.01177100611585831,0.3508340457580597,0.20865342454352198,0.2747280282077143,6.964322611135291,0.4833814527512363,1,0,1,297,-348.8996299877139,5,0,accepted,0,0
322,2019-04-08,0.03455595598261166,0.33584168010346477,0.21055867744971782,0.2708052932372789,7.20859306076137,0.48136397068699677,1,0,2,322,-371.20820849716165,5,0,accepted,0,0
347,2019-05-24,0.026276077139178056,0.2984477381214569,0.18307447969483498,0.35177183096427384,6.641899866609065,0.5348463106591088,1,0,1,347,-397.6461873999313,5,0,accepted,0,0
372,2019-07-02,0.03572853196688497,0.2825798462213471,0.18210183136563193,0.36137706797441077,6.643826080061141,0.5434788993400427,1,0,2,372,-419.9113242904528,5,0,accepted,0,0
397,2019-08-08,0.03017249227843499,0.30727138158398304,0.2013407458525533,0.3178761038416891,6.344757628834535,0.5192168496942424,1,0,1,397,-451.6685683716059,5,0,accepted,0,0
422,2019-09-18,0.03376556920250079,0.24704904445523024,0.17719696889655326,0.43131950208958386,7.049542136712786,0.6085164709861371,1,0,4,422,-481.29116497555833,5,0,accepted,0,0
447,2019-10-29,0.03629444722334488,0.2871605973901907,0.16893495966935193,0.38135422180866135,6.361448322794152,0.5502891814780133,1,0,2,447,-511.7140616119542,5,0,accepted,0,0
472,2019-12-05,0.029706685895615363,0.29196820694696257,0.1618118701676879,0.37643417788000116,6.690971065018757,0.538246048047689,1,0,2,472,-540.286876557391,5,0,accepted,0,0
497,2020-01-22,0.03872671122388569,0.3151579353601351,0.180449603884768,0.3184710674338963,6.570983012400696,0.4989206713186643,1,0,5,497,-565.7195738698043,5,0,accepted,0,0
522,2020-03-02,0.03345304810012534,0.18308504988491936,0.16062426559599902,0.5894374831734706,5.513244915686158,0.7500617487694696,1,0,2,522,-615.2160932815445,5,0,accepted,0,0
547,2020-04-07,0.03400677632556647,0.05999374237423129,0.1288248443067202,0.8142985348461644,4.895553211297878,0.9431233791528846,1,0,3,547,-690.1004073877224,5,0,accepted,0,0
572,2020-05-27,0.035813175392269345,0.0469961584032754,0.10979487527167937,0.8464911346215561,4.94427617488873,0.9562860098932355,1,0,4,572,-741.6246433098893,5,0,accepted,0,0
597,2020-07-02,0.03476510800694702,0.036783521592221785,0.09764973268125796,0.8710151062229535,4.932029231323541,0.9686648389042115,1,0,1,597,-791.687501702537,5,0,accepted,0,0
622,2020-08-12,0.03332241898747865,0.031533095369793394,0.09146101065562269,0.8828691005435947,5.117590829318647,0.9743301111992174,1,0,2,622,-834.786556528989,5,0,accepted,0,0
647,2020-09-18,0.030271106879803923,0.030154209558513636,0.09259441169100074,0.882834383905069,5.431310665882818,0.9754287955960697,1,0,2,647,-876.2258778740047,5,0,accepted,0,0
672,2020-10-28,0.02402392109583501,0.029705799816923402,0.09106529016016601,0.8846141156606648,5.61131384820248,0.9756794058208309,1,0,2,672,-912.6520956497658,5,0,accepted,0,0
697,2020-12-07,0.030692773897477484,0.030198821294165734,0.09340805191329221,0.8845756368671562,5.338215905244943,0.9779836887804485,1,0,4,697,-960.988531628242,5,0,accepted,0,0
722,2021-01-21,0.03183409150974911,0.031082814437880364,0.0895832830202531,0.8871876493193694,5.154166871302891,0.9767709323396225,1,0,3,722,-997.026698650551,5,0,accepted,0,0
747,2021-03-02,0.028589526931850108,0.029985896750134376,0.08477195533642781,0.8933452632386566,5.0498201139081,0.9781172185750844,1,0,2,747,-1033.7500281660293,5,0,accepted,0,0
772,2021-04-08,0.038546448698227036,0.032887163012606295,0.08500049832894085,0.8895340933183636,5.009151971743648,0.9745345916473045,1,0,2,750,-1041.939773062625,5,0,accepted,0,0
797,2021-05-19,0.0395792438526525,0.027226548148629157,0.06830349883635183,0.9088825570460309,4.905199940686348,0.9771860558823827,1,0,2,750,-1052.7272549342515,5,0,accepted,0,0
822,2021-06-25,0.0517923268341101,0.02435717578264685,0.0664851982346139,0.9144923860758581,4.549934437503953,0.980977584310472,1,0,4,750,-1038.8501401883473,5,0,accepted,0,0
