t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
272,2019-01-23,0.006651484398932263,0.009554584307059985,0.0,0.9693198344057669,7.487413939651295,0.9693198344057669,1,0,2,272,-210.56619723863616,4,1,fallback,0,0
297,2019-03-01,0.014422662959417838,0.008903753706635173,3.7713023905621054e-17,0.9712899038964729,8.338151367905157,0.9712899038964729,1,0,2,297,-230.79803660656546,5,1,fallback,0,0
322,2019-04-08,0.008133640181096477,0.0036029117200403285,4.483522562636473e-17,0.990535011495709,7.329481927156741,0.990535011495709,1,0,3,322,-259.24454045063754,5,1,fallback,0,0
347,2019-05-24,-0.010795492471520054,0.010486028849937113,0.0,0.967061921052749,6.658092809725956,0.967061921052749,1,0,2,347,-274.3706272732168,5,1,fallback,0,0
372,2019-07-02,-0.013294453172396277,0.017924636628588047,0.016077142315202526,0.9232030756521088,6.299065892477002,0.9392802179673113,1,0,5,372,-284.0624688145026,5,0,accepted,0,0
397,2019-08-08,-0.024923476510884328,0.01705758305252989,0.017171560573626583,0.924032142300824,6.270438493442459,0.9412037028744505,1,0,2,397,-299.57915530358343,5,0,accepted,0,0
422,2019-09-18,-0.020209951932314753,0.01716520608431384,0.01552490336220995,0.9253309585460933,6.3661361029053944,0.9408558619083032,1,0,1,422,-318.7490244315994,5,0,accepted,0,0
447,2019-10-29,-0.017371345171543408,0.16810042024918329,0.08190979751435419,0.33809845922490256,6.468975496483384,0.42000825673925674,1,0,4,447,-343.4700255385512,5,0,accepted,0,0
472,2019-12-05,-0.012144654221957707,0.14877215480090267,0.09138342359809809,0.37544611844702463,6.33615992468467,0.4668295420451227,1,0,1,472,-352.25448347204264,5,0,accepted,0,0
497,2020-01-22,-0.012918455597489836,0.1521673758385177,0.09726187000428521,0.371585377862095,6.07519976794623,0.4688472478663802,1,0,5,497,-375.52402341853076,5,0,accepted,0,0
522,2020-03-02,-0.014007961080060798,0.15744222567823923,0.09250676914767124,0.3536627935772058,6.3456573822722,0.44616956272487707,1,0,3,522,-394.592709211232,5,0,accepted,0,0
547,2020-04-07,-0.015266436603320001,0.047907105972614036,0.10404311523210724,0.7584069758834914,5.496723962912683,0.8624500911155986,1,0,4,547,-444.0502644893161,5,0,accepted,0,0
