t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
272,2019-01-23,-0.0071053269539551765,0.0006157808806769749,9.511011550614093e-14,0.9969221029182335,5.627242597055592,0.9969221029183286,1,0,2,272,-275.17597235904526,4,1,fallback,0,0
297,2019-03-01,-0.00020698255827939806,4.6707526573855365e-09,0.0,0.99825774262646,5.212690509822101,0.99825774262646,1,0,3,297,-297.17416673772505,5,1,fallback,0,0
322,2019-04-08,-0.0031772947323034572,0.0027243854888172546,0.0,0.9927417873954407,5.605257612563595,0.9927417873954407,1,0,4,322,-323.89230537393667,5,1,fallback,0,0
347,2019-05-24,-0.0013161407300790523,0.0030618660554451974,7.882481838586999e-11,0.9920283120711051,5.719914750233084,0.9920283121499299,1,0,4,347,-347.3647205945976,5,1,fallback,0,0
372,2019-07-02,0.01438872169727664,0.004543173870145298,1.2207232598766408e-10,0.9898646407128435,4.780304721238925,0.9898646408349159,1,0,2,372,-380.1732770777554,5,1,fallback,0,0
397,2019-08-08,0.028878839503520024,0.006266570756613661,0.0,0.9871385107851607,4.610374276429141,0.9871385107851607,1,0,1,397,-412.301224192581,5,1,fallback,0,0
422,2019-09-18,0.023372931811433198,0.007832723634189987,0.0023836161398181066,0.9825489053634767,4.600089565742238,0.9849325215032948,1,0,3,422,-444.79674489820854,5,0,accepted,0,0
447,2019-10-29,0.021451293675050304,0.006724517342381672,0.008094400423970203,0.9797622796960888,4.658720525393924,0.987856680120059,1,0,1,447,-477.34357412499946,5,0,accepted,0,0
472,2019-12-05,0.020067085948377476,0.0076111772740539915,0.0072712885976176315,0.9787620865228324,4.653190615249321,0.98603337512045,1,0,2,472,-503.93418050367114,5,0,accepted,0,0
497,2020-01-22,0.02446690983051024,0.0089116874602525,0.006564303940331579,0.9777855335459502,4.258108920985581,0.9843498374862818,1,0,2,497,-532.7093520015198,5,0,accepted,0,0
522,2020-03-02,0.034929381237263066,0.009213175244172107,0.005861336732603491,0.9790041155590241,3.9301931152657046,0.9848654522916276,1,0,2,522,-564.4072104203156,5,0,accepted,0,0
547,2020-04-07,0.03415919878679833,0.01421631276000493,0.05164663822188927,0.9397711249042132,3.5481340061807103,0.9914177631261025,1,0,2,547,-632.6191250930558,5,0,accepted,0,0
572,2020-05-27,0.03371295349347116,0.015077695321049628,0.04938182632012758,0.9386511033209777,3.651851117872212,0.9880329296411052,1,0,1,572,-678.8647875481736,5,0,accepted,0,0
597,2020-07-02,0.03843948582672501,0.019426780841538555,0.05118167886114623,0.9291069445067983,3.7593924754800803,0.9802886233679445,1,0,3,597,-713.5529936403041,5,0,accepted,0,0
622,2020-08-12,0.047159751030341576,0.01730030344066839,0.05451302836272548,0.9322514368080161,3.6839217389731314,0.9867644651707417,1,0,3,622,-756.3832127024971,5,0,accepted,0,0
647,2020-09-18,0.04616592174541393,0.018497486855944132,0.055589924028008775,0.9283649870849389,3.792201328449245,0.9839549111129476,1,0,1,647,-794.6318797232076,5,0,accepted,0,0
672,2020-10-28,0.04881868941821154,0.019823637510682113,0.053124329111093785,0.9298083945482115,3.633752401506942,0.9829327236593053,1,0,2,672,-830.2705848267266,5,0,accepted,0,0
697,2020-12-07,0.04935616034919899,0.01649107023186776,0.04792424720066075,0.9414359532300935,3.427561839584201,0.9893602004307543,1,0,2,697,-875.3210644958224,5,0,accepted,0,0
