t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
272,2019-01-23,-0.005354992543087465,0.08596601295642989,0.014030311642425443,0.576466873683809,8.825471422176259,0.5904971853262344,1,0,2,272,-170.29366356352088,4,0,accepted,0,0
297,2019-03-01,-0.010683350158129318,0.058149104803216986,0.03046862613136211,0.6760630089743019,8.347600979149101,0.7065316351056641,1,0,2,297,-176.87311172451433,5,0,accepted,0,0
322,2019-04-08,-0.013667070925811478,0.04414942399952777,0.03799385891121028,0.7294565238869801,8.356613341443486,0.7674503827981904,1,0,4,322,-184.91965207531973,5,0,accepted,0,0
347,2019-05-24,-0.00884467697961542,0.03542862274464986,0.04626361188882255,0.7599561489511891,8.589678946602387,0.8062197608400117,1,0,2,347,-192.80975349445825,5,0,accepted,0,0
372,2019-07-02,-0.0036198970764205786,1.8530415692824746e-09,1.9272224966726e-06,0.9986479239123265,9.601488877721644,0.9986498511348232,1,0,3,372,-199.168266319901,5,0,accepted,0,0
397,2019-08-08,-0.003585379802346691,0.04350792514609022,0.05893252967242582,0.706412306190961,8.173320133407726,0.7653448358633868,1,0,4,397,-220.47054634458357,5,0,accepted,0,0
422,2019-09-18,-0.007615619737326313,0.042662359953241163,0.05750129502103967,0.7094263047281024,8.323102750633126,0.766927599749142,1,0,4,422,-233.21965971058032,5,0,accepted,0,0
447,2019-10-29,-0.009174023252384604,0.041385492040358796,0.06042160732012562,0.7085884821563503,8.402351731443632,0.7690100894764759,1,0,1,447,-242.2893671047415,5,0,accepted,0,0
472,2019-12-05,-0.009409388725452923,0.03666644650930126,0.07284263596398631,0.7173872221508832,8.212562442591565,0.7902298581148696,1,0,2,472,-248.05819425608277,5,0,accepted,0,0
497,2020-01-22,-0.013695156084140677,0.038821567028602684,0.07732362062795242,0.7023275681032946,7.027240423629377,0.779651188731247,1,0,1,497,-259.15653133104365,5,0,accepted,0,0
522,2020-03-02,-0.011726275810140125,0.045010588624069314,0.08763214474722751,0.6616921396382933,6.810846266192156,0.7493242843855208,1,0,2,522,-274.4405070068367,5,0,accepted,0,0
547,2020-04-07,-0.012557876412974513,0.01926757146093989,0.11903255518230915,0.7968423926937633,6.076556090828816,0.9158749478760725,1,0,1,547,-321.4129593360633,5,0,accepted,0,0
572,2020-05-27,-0.012165588748288145,0.02133325048185985,0.12249467704907517,0.7802924292253259,6.187720318332153,0.9027871062744011,1,0,4,572,-335.199486399433,5,0,accepted,0,0
597,2020-07-02,-0.01309176034164237,0.022795276482709,0.12203436685734076,0.7749528234324248,6.0024611441124085,0.8969871902897655,1,0,3,597,-351.02532230835044,5,0,accepted,0,0
622,2020-08-12,-0.008686314539548746,0.022767551224991783,0.11692368913715202,0.7786007353245656,6.083926109838733,0.8955244244617176,1,0,4,622,-363.73215437881834,5,0,accepted,0,0
