t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
272,2019-01-23,0.06698257693662252,0.20236723851460622,0.17898017780410033,0.687843720974292,5.2893925860965405,0.8668238987783924,1,0,3,272,-409.02156073787546,4,0,accepted,0,0
297,2019-03-01,0.07496841260227131,0.24465385248870902,0.22093958488671636,0.6174916278964042,5.250060351030533,0.8384312127831206,1,0,1,297,-441.61159993473404,5,0,accepted,0,0
322,2019-04-08,0.0838940249215498,0.2831920881732712,0.22051334649556878,0.5930284135002588,5.023294311711724,0.8135417599958276,1,0,1,322,-480.4553980975329,5,0,accepted,0,0
347,2019-05-24,0.06942530237193018,0.27474467924524726,0.223424055028819,0.5835614141580574,5.19543797574346,0.8069854691868764,1,0,2,347,-509.1097092622025,5,0,accepted,0,0
372,2019-07-02,0.0666053403505689,0.2758977193815625,0.1939183907514478,0.6014350848799906,5.481140272258018,0.7953534756314384,1,0,2,372,-544.8654113370975,5,0,accepted,0,0
397,2019-08-08,0.050398545736850486,0.3032451288589185,0.19268405756784693,0.5760745263066135,5.359766649777272,0.7687585838744604,1,0,2,397,-578.3011214126719,5,0,accepted,0,0
422,2019-09-18,0.0666530230252092,0.2893942520765816,0.17576331142679766,0.5926227153249841,5.377701789576087,0.7683860267517818,1,0,3,422,-608.8385294612096,5,0,accepted,0,0
447,2019-10-29,0.07604922147200878,0.2786066709754706,0.1925254707350522,0.5812041183781953,5.2324169918836505,0.7737295891132475,1,0,3,447,-636.1491633746084,5,0,accepted,0,0
472,2019-12-05,0.07445680974337548,0.26132952423440176,0.18667439978983608,0.5908675781635065,5.412764350949717,0.7775419779533426,1,0,4,472,-663.3966919577576,5,0,accepted,0,0
497,2020-01-22,0.07503884794878181,0.30181630408248533,0.2084287967026163,0.5388073688766842,5.133593659118931,0.7472361655793005,1,0,4,497,-696.841019997514,5,0,accepted,0,0
522,2020-03-02,0.06532835807479939,0.2791631227105703,0.193501925949644,0.5908612870133421,4.943056578129728,0.7843632129629861,1,0,2,522,-744.8210260823846,5,0,accepted,0,0
547,2020-04-07,0.06372436567822667,0.1556383515454163,0.18747479275056772,0.7247663983757816,4.637692160116716,0.9122411911263493,1,0,2,547,-816.7592182939513,5,0,accepted,0,0
572,2020-05-27,0.06412203921102236,0.0863145460887777,0.1283103700760385,0.8258503212595645,4.66254767236056,0.954160691335603,1,0,4,572,-869.162203392287,5,0,accepted,0,0
597,2020-07-02,0.064312517332849,0.07259065626694827,0.11275235800858083,0.8501186006378854,4.572268624304273,0.9628709586464662,1,0,3,597,-917.7888131705092,5,0,accepted,0,0
622,2020-08-12,0.06166631995228041,0.06811535137427449,0.10590490102847039,0.8589538464352086,4.613097743054904,0.964858747463679,1,0,2,622,-959.728811518993,5,0,accepted,0,0
647,2020-09-18,0.06346591463474599,0.0676921190796774,0.10330557163250252,0.8582241080768241,4.752117465965741,0.9615296797093267,1,0,2,647,-991.3881157817971,5,0,accepted,0,0
672,2020-10-28,0.060432339411211906,0.05946323007054311,0.1011994934319954,0.8639610195383474,4.771079719673604,0.9651605129703428,1,0,1,672,-1017.8931010163068,5,0,accepted,0,0
697,2020-12-07,0.07261501447792117,0.08025602720168204,0.11653427297539469,0.8359343943315346,4.954997252545452,0.9524686673069293,1,0,3,697,-1059.8235683256057,5,0,accepted,0,0
722,2021-01-21,0.07249430491182321,0.08378903453142098,0.11665155891040818,0.8351978521139494,4.619412092959507,0.9518494110243576,1,0,4,722,-1094.7327741599565,5,0,accepted,0,0
747,2021-03-02,0.075561288436479,0.08387808638196208,0.120481105178406,0.8350074591393244,4.702848916820117,0.9554885643177304,1,0,3,747,-1142.509990046702,5,0,accepted,0,0
772,2021-04-08,0.07912032475460677,0.08073494764658189,0.11289051300298068,0.8436642299482203,4.657310749159956,0.956554742951201,1,0,3,750,-1151.4022653574232,5,0,accepted,0,0
797,2021-05-19,0.07799713483860884,0.08370178448178882,0.12296102537042398,0.831194775132955,5.0003731204103,0.954155800503379,1,0,2,750,-1161.7733204716933,5,0,accepted,0,0
822,2021-06-25,0.08632642528403589,0.13395820297783445,0.16242166912746572,0.7686889117253671,4.4884105699984325,0.9311105808528328,1,0,4,750,-1149.2596422971146,5,0,accepted,0,0
847,2021-08-04,0.07050715298784395,0.06266510335660616,0.0957468997683832,0.86885346149635,5.085991437853048,0.9646003612647333,1,0,2,750,-1147.7358603459134,5,0,accepted,0,0
872,2021-09-13,0.07844683625825474,0.104933563085319,0.12499435637351164,0.8150450022800079,5.140355679171678,0.9400393586535195,1,0,2,750,-1158.5990926762581,5,0,accepted,0,0
897,2021-10-20,0.07899598308825302,0.09973258266055185,0.12307111077302446,0.8201756466068882,5.378259629493727,0.9432467573799127,1,0,5,750,-1169.2096492563362,5,0,accepted,0,0
922,2021-11-29,0.06929737874713982,0.10510731912020728,0.12360459593916029,0.8171039635067319,5.320267678778476,0.9407085594458922,1,0,3,750,-1175.4681833662917,5,0,accepted,0,0
947,2022-01-11,0.06023480247104371,0.07373933406286728,0.09855122457758053,0.8623057595666341,5.341149100389989,0.9608569841442147,1,0,2,750,-1186.8226350907603,5,0,accepted,0,0
972,2022-02-17,0.06286771690606319,0.06650857399819825,0.09420605969937348,0.8678357801089173,6.0715630027942105,0.9620418398082907,1,0,3,750,-1188.6703087478265,5,0,accepted,0,0
997,2022-03-29,0.05965310585113254,0.056062291254648094,0.09173362937487485,0.8779606709954421,6.152384086380361,0.9696943003703169,1,0,3,750,-1198.80102715358,5,0,accepted,0,0
1022,2022-05-12,0.056600251673130667,0.04672291767017905,0.08176279588759544,0.8945443400731131,6.063318009547357,0.9763071359607085,1,0,5,750,-1194.4430719291572,5,0,accepted,0,0
1047,2022-06-22,0.05515022229251843,0.03937733575972239,0.07627670625950338,0.9034398604795415,6.701032055188345,0.9797165667390448,1,0,2,750,-1205.3449103155695,5,0,accepted,0,0
1072,2022-07-29,0.057449709978086856,0.039122775562527294,0.07363220237553805,0.9056850879098781,7.222212879036866,0.9793172902854161,1,0,5,750,-1203.7364816392142,5,0,accepted,0,0
1097,2022-09-07,0.06315574638675928,0.039037734008603615,0.07290476292960357,0.9061150478132622,7.231305340938586,0.9790198107428658,1,0,4,750,-1210.999330765618,5,0,accepted,0,0
1122,2022-10-17,0.05970242269968558,0.04308677335758647,0.07718891325981884,0.9027634913330387,6.986557550987612,0.9799524045928575,1,0,2,750,-1224.3686750315635,5,0,accepted,0,0
1147,2022-11-22,0.07730620470240344,0.042520160557124036,0.07242658535090003,0.9061925227534878,7.34273705631798,0.9786191081043879,1,0,2,750,-1228.0332382647593,5,0,accepted,0,0
1172,2023-01-04,0.04749621317268915,0.05396143511590207,0.07481883041396922,0.8976648748437831,7.200122110013646,0.9724837052577523,1,0,1,750,-1231.4992715399544,5,0,accepted,0,0
1197,2023-02-10,0.050268106296530266,0.0614088174714559,0.07782672962853741,0.8900723574604344,7.194792670407534,0.9678990870889719,1,0,3,750,-1236.0325353423386,5,0,accepted,0,0
1222,2023-03-22,0.04693232753698625,0.09002690332236439,0.08748216449443026,0.8650295529218633,7.518433007425604,0.9525117174162936,1,0,1,750,-1244.3100351019366,5,0,accepted,0,0
1247,2023-04-28,0.05347593782780693,0.0737596717155887,0.08781825875098999,0.8717675283910522,7.705991050949156,0.9595857871420422,1,0,3,750,-1240.6268579888115,5,0,accepted,0,0
1272,2023-06-12,0.07868937436806968,0.04901967250846867,0.04406363032919917,0.9217408216386915,11.286827143552456,0.9658044519678907,1,0,5,750,-1229.4014085470699,5,0,accepted,0,0
