t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
272,2019-01-23,0.055026749887224384,0.11671199351324556,0.14702032834283393,0.8529796716571664,6.471858995650822,1.0000000000000002,1,0,1,272,-621.7973569323223,4,0,accepted,0,1
297,2019-03-01,0.05643683190676486,0.16226037723614933,0.15617780621688127,0.833176800668939,6.060346226117466,0.9893546068858202,1,0,2,297,-685.5436307137779,5,0,accepted,0,0
322,2019-04-08,0.023552935348719953,0.1611285058638832,0.1534270500436306,0.8301066292898921,6.297003288350289,0.9835336793335228,1,0,2,322,-731.5727733450428,5,0,accepted,0,0
347,2019-05-24,0.005716704154832663,0.16235920372733384,0.1461645393987952,0.833519459329161,6.94849238235965,0.9796839987279562,1,0,2,347,-779.079338186537,5,0,accepted,0,0
372,2019-07-02,-0.01966247730559429,0.16918373274688098,0.14678060943222815,0.8330003644612686,7.4645458694789735,0.9797809738934967,1,0,5,372,-836.4244069621498,5,0,accepted,0,0
397,2019-08-08,-0.03425697926371738,0.16145539567573727,0.1351229110134057,0.8462653590942519,7.16989550749387,0.9813882701076576,1,0,2,397,-897.2552816668049,5,0,accepted,0,0
422,2019-09-18,0.020437862399627353,0.16082934152019776,0.13065653338655311,0.8483537483113227,7.591114083373241,0.9790102816978759,1,0,2,422,-950.8502735849681,5,0,accepted,0,0
447,2019-10-29,-0.009110323326274561,0.15872909778866987,0.12509052551062652,0.856623703663107,7.328830685861477,0.9817142291737335,1,0,1,447,-1011.7538274145078,5,0,accepted,0,0
472,2019-12-05,-0.010684552043356554,0.14646279104905527,0.12957415190569588,0.8581735809692765,7.513294904965392,0.9877477328749724,1,0,1,472,-1081.2960102312113,5,0,accepted,0,0
497,2020-01-22,-0.036750046991541295,0.14980945954042496,0.12602835272637627,0.85951735710583,7.7844419698230825,0.9855457098322062,1,0,4,497,-1142.189348379462,5,0,accepted,0,0
522,2020-03-02,-0.05530161346068904,0.15049848044288494,0.11989016381728795,0.865527021328164,7.355990852154494,0.9854171851454518,1,0,4,522,-1203.352543757872,5,0,accepted,0,0
547,2020-04-07,-0.04644308984853831,0.13438033580296477,0.1253205261142222,0.8654694277006099,8.14280920602653,0.990789953814832,1,0,2,547,-1274.6996937481883,5,0,accepted,0,0
572,2020-05-27,-0.04231852767540544,0.12044603864204745,0.13108981094400304,0.8637519441174614,9.462464686632876,0.9948417550614644,1,0,2,572,-1350.8908292358078,5,0,accepted,0,0
597,2020-07-02,-0.053084419899970335,0.12461409885764328,0.13179116366546,0.8651496745731517,8.104541569008962,0.9969408382386118,1,0,4,597,-1421.0060862399798,5,0,accepted,0,0
622,2020-08-12,-0.050941182221482445,0.12828814049416495,0.12182342714649226,0.874032648823792,6.880271537975388,0.9958560759702842,1,0,4,622,-1492.29180220418,5,0,accepted,0,0
647,2020-09-18,-0.051530458199087234,0.12059500725283293,0.11840340639825582,0.8785985988507095,6.876996959949024,0.9970020052489653,1,0,2,647,-1563.363668643698,5,0,accepted,0,0
672,2020-10-28,-0.04089555235765606,0.13631563328391916,0.11850604026048352,0.8768189036575024,6.292594917633614,0.9953249439179859,1,0,5,672,-1639.68357963894,5,0,accepted,0,0
697,2020-12-07,-0.05068335856740726,0.12148166204723808,0.11000441774270961,0.8874146068365508,6.013787158513275,0.9974190245792605,1,0,3,697,-1713.5977752060649,5,0,accepted,0,0
722,2021-01-21,-0.05087692248239051,0.12222187947841541,0.10595561697429962,0.8899414614012445,6.023374729846006,0.9958970783755441,1,0,1,722,-1779.9460382282741,5,0,accepted,0,0
747,2021-03-02,-0.050429530607186336,0.11965593811624572,0.10429606803792751,0.8918507246702565,6.037548164352841,0.996146792708184,1,0,2,747,-1849.7258675211547,5,0,accepted,0,0
772,2021-04-08,-0.04368806296543666,0.12528574621653094,0.10134137060953517,0.8924026252265433,5.879098649918287,0.9937439958360785,1,0,2,750,-1851.5652809953137,5,0,accepted,0,0
797,2021-05-19,-0.025543615208484822,0.1334188764114028,0.10240870294546062,0.8897898487857422,5.596367029623971,0.9921985517312029,1,0,5,750,-1836.4809301799478,5,0,accepted,0,0
822,2021-06-25,-0.001843109105030862,0.11428404818019823,0.08597824206739273,0.9067928640576987,5.976660646397739,0.9927711061250913,1,0,2,750,-1830.5034783358187,5,0,accepted,0,0
847,2021-08-04,0.034032754178964605,0.1266234513753294,0.08648806018259014,0.9053184438680171,6.088892765910079,0.9918065040506072,1,0,1,750,-1841.5294905485164,5,0,accepted,0,0
872,2021-09-13,0.028047169496905364,0.15448122131103997,0.0879078432316463,0.9027408161707932,5.976043068828138,0.9906486594024395,1,0,5,750,-1859.0948019252723,5,0,accepted,0,0
897,2021-10-20,0.0329829987669132,0.17437233127273485,0.0954611655030192,0.8973699952861588,6.033492105135451,0.992831160789178,1,0,1,750,-1893.2257547035506,5,0,accepted,0,0
922,2021-11-29,0.026060589836191986,0.2212034132730088,0.09660550179113503,0.8940579163060371,6.058674685622051,0.9906634180971722,1,0,2,750,-1932.0906054699117,5,0,accepted,0,0
947,2022-01-11,0.032803474418279244,0.22737401626355916,0.09761852751215243,0.8928116454897196,6.196264653661982,0.990430173001872,1,0,2,750,-1963.9804327280287,5,0,accepted,0,0
972,2022-02-17,0.00943181596105847,0.20063961315673606,0.09584728824868685,0.8989278186810853,5.698452485165665,0.9947751069297721,1,0,5,750,-2005.9632900033089,5,0,accepted,0,0
997,2022-03-29,0.014127000045135356,0.29604749552175835,0.10582944634374655,0.8782992479810834,5.9644476706257485,0.98412869432483,1,0,4,750,-1995.4340991889403,5,0,accepted,0,0
