t,date,mu,omega,alpha,beta,nu,persist,optimizer_converged,optimizer_flag,start_used,n_fit,loglik,n_starts_tried,degenerate,status,carried_forward,near_unit_persistence
272,2019-01-23,0.0895627130907116,0.022246676298564635,0.1607209990266356,0.8392790009733454,4.625361147520449,0.999999999999981,1,0,1,272,-339.06959940028247,4,0,accepted,0,1
297,2019-03-01,0.09753574904167754,0.02251725862571595,0.16605473422410227,0.8316996854195458,4.544864223272524,0.9977544196436481,1,0,3,297,-362.9312987495247,5,0,accepted,0,0
322,2019-04-08,0.1039676556058697,0.02157437045682698,0.14619827475702532,0.8440914034367091,4.832010087331277,0.9902896781937344,1,0,3,322,-385.83250085693436,5,0,accepted,0,0
347,2019-05-24,0.09821120577201732,0.021882016656829803,0.14275385349195946,0.8535761810425536,4.34040784826328,0.9963300345345131,1,0,2,347,-415.2302208194794,5,0,accepted,0,0
372,2019-07-02,0.10515070165271037,0.021988817589119334,0.13471850314976538,0.8554031945450312,4.458246693209257,0.9901216976947966,1,0,4,372,-443.14634866823235,5,0,accepted,0,0
397,2019-08-08,0.10096165754419664,0.02671388922533176,0.1483142324436007,0.8402370268632816,4.549789057084405,0.9885512593068824,1,0,5,397,-471.70797020302064,5,0,accepted,0,0
422,2019-09-18,0.10708510845826387,0.03124194271586198,0.15897695407902,0.8244434759265993,4.465781776192722,0.9834204300056193,1,0,4,422,-507.81468363783586,5,0,accepted,0,0
447,2019-10-29,0.10762467279538337,0.04033123894620308,0.18702383962322747,0.7894283007510958,4.620247465443549,0.9764521403743233,1,0,4,447,-538.9543341003134,5,0,accepted,0,0
472,2019-12-05,0.10981167818518087,0.03897810066862997,0.19843332632768254,0.7785774041284446,4.691059007585505,0.9770107304561271,1,0,4,472,-553.9576325484725,5,0,accepted,0,0
497,2020-01-22,0.12283790952317257,0.03619071670504531,0.18919632152563115,0.7833294677283236,4.92137064598032,0.9725257892539547,1,0,1,497,-571.0219388379433,5,0,accepted,0,0
522,2020-03-02,0.12054340194596001,0.043553113503893806,0.21314452467273623,0.7748377109976698,4.176274582544159,0.9879822356704061,1,0,2,522,-615.8553956934471,5,0,accepted,0,0
547,2020-04-07,0.12176277547910962,0.04102488459526907,0.24531048744642459,0.7546895125535752,4.627871514265739,0.9999999999999998,1,0,1,547,-699.3530266452398,5,0,accepted,0,1
572,2020-05-27,0.12501279355773873,0.0407981986779268,0.2466573043719719,0.7533426956280281,4.705215775825602,1.0,1,0,1,572,-749.5918429160176,5,0,accepted,0,1
597,2020-07-02,0.126088142567444,0.0384780247651002,0.2246251199185966,0.7753748800814034,4.4556161307411895,1.0,1,0,4,597,-799.8140564159098,5,0,accepted,0,1
622,2020-08-12,0.1311602559373659,0.03761983192758103,0.2262738674891862,0.7736732641552305,4.564913456396872,0.9999471316444167,1,0,1,622,-830.0474418377519,5,0,accepted,0,1
647,2020-09-18,0.13685475552057402,0.04234103104690192,0.2359364863557067,0.7640635136442934,4.476875409951559,1.0,1,0,4,647,-867.9590982893124,5,0,accepted,0,1
672,2020-10-28,0.13437560123796172,0.03826113577752814,0.21919251862218345,0.7808074813778166,4.530366092150238,1.0,1,0,4,672,-909.1493863440036,5,0,accepted,0,1
697,2020-12-07,0.13852344121529578,0.038800504215372844,0.21827046793261132,0.7817295320673886,4.474686944302235,0.9999999999999999,1,0,3,697,-952.6292497928807,5,0,accepted,0,1
722,2021-01-21,0.1377963777146947,0.03880441994343146,0.216247598524756,0.782659277040588,4.591378360493389,0.9989068755653441,1,0,2,722,-980.293371488246,5,0,accepted,0,0
747,2021-03-02,0.1372324719027931,0.04299250265938845,0.2250561594258396,0.7749438405741603,4.463573305418489,0.9999999999999999,1,0,3,747,-1018.8970760381533,5,0,accepted,0,1
772,2021-04-08,0.14148091459050138,0.04765110583318259,0.22847199200957716,0.7690391416957756,4.482800969840119,0.9975111337053527,1,0,3,750,-1041.9696173150182,5,0,accepted,0,0
797,2021-05-19,0.1355377113373963,0.04466592341063095,0.21765290119317499,0.7732144749834671,4.902038478296323,0.990867376176642,1,0,2,750,-1048.2671805800142,5,0,accepted,0,0
822,2021-06-25,0.13650297478644086,0.04725313098432936,0.22966835603214728,0.7602313757978669,4.792745578023969,0.9898997318300142,1,0,1,750,-1022.8492283103324,5,0,accepted,0,0
847,2021-08-04,0.1399200298857528,0.05071103341358229,0.2374068553839791,0.7480603734162804,4.886558836522608,0.9854672288002595,1,0,2,750,-1006.6560161319273,5,0,accepted,0,0
872,2021-09-13,0.13788987073172418,0.04893054791406615,0.23782081198624763,0.7487683108475023,4.8473920176329495,0.9865891228337499,1,0,2,750,-996.5910838628492,5,0,accepted,0,0
897,2021-10-20,0.1450353811840964,0.05167437464554304,0.2453935821147835,0.7426570139617469,4.921408986165251,0.9880505960765303,1,0,2,750,-1010.7118605906626,5,0,accepted,0,0
922,2021-11-29,0.14539443920458342,0.055422075811207415,0.24758064782336028,0.7422791261057762,4.611346143398388,0.9898597739291365,1,0,1,750,-1014.804094927383,5,0,accepted,0,0
947,2022-01-11,0.15132454674403772,0.06227417830681595,0.2531925820772085,0.7355274311146872,4.68032661802408,0.9887200131918957,1,0,3,750,-1041.8498370965958,5,0,accepted,0,0
972,2022-02-17,0.15384191703547137,0.05550067805629343,0.24092902572141567,0.7458737383537996,5.187498360878626,0.9868027640752153,1,0,3,750,-1047.2392311559402,5,0,accepted,0,0
997,2022-03-29,0.15424253799649348,0.055787181586949036,0.2472347238127731,0.7388456431400978,5.360942154533254,0.9860803669528709,1,0,2,750,-1050.3922148029314,5,0,accepted,0,0
1022,2022-05-12,0.14875298695079772,0.05277159213949245,0.2544893296114047,0.7414906273635586,5.524391243066364,0.9959799569749633,1,0,1,750,-1056.8582159040166,5,0,accepted,0,0
1047,2022-06-22,0.14471183795382955,0.05062091692241647,0.2538796427432581,0.7461203572567421,5.6569899721341,1.0000000000000002,1,0,5,750,-1087.7163409255768,5,0,accepted,0,1
1072,2022-07-29,0.14462102300796478,0.052681963765411385,0.2530017203104596,0.7469982796895404,5.652801146146556,1.0,1,0,4,750,-1108.0330639845058,5,0,accepted,0,1
1097,2022-09-07,0.1474701293180892,0.052810836729526515,0.25645003420768464,0.7435499657923154,5.928415540573877,1.0,1,0,1,750,-1120.1212683427107,5,0,accepted,0,1
1122,2022-10-17,0.14006433383980757,0.05108528550749537,0.2458250672573469,0.7541749327425341,6.069445157408626,0.999999999999881,1,0,4,750,-1147.7098769488312,5,0,accepted,0,1
1147,2022-11-22,0.14802853177284755,0.04778520541804457,0.2336908038085793,0.7663091961914651,5.911967418620381,1.0000000000000444,1,0,2,750,-1168.9502789149108,5,0,accepted,0,1
1172,2023-01-04,0.14068051061631986,0.043222861962616314,0.2148339410918752,0.785166058905236,6.15538201401936,0.9999999999971112,1,0,2,750,-1177.0983115732352,5,0,accepted,0,1
1197,2023-02-10,0.1417982203142719,0.0367124641712908,0.18693049123647107,0.8130695087633896,6.312721590036327,0.9999999999998607,1,0,2,750,-1184.6833014235522,5,0,accepted,0,1
1222,2023-03-22,0.13649447575784332,0.05342719196591278,0.20663167079627634,0.7908740222362175,6.259421080411516,0.9975056930324938,1,0,4,750,-1210.7252277319094,5,0,accepted,0,0
1247,2023-04-28,0.12825544435790542,0.060925232241621344,0.19808307523650484,0.790670446042089,6.2790669828926555,0.9887535212785938,1,0,4,750,-1221.739462539189,5,0,accepted,0,0
1272,2023-06-12,0.1251190356097389,0.04682911834675916,0.14462854323913868,0.8297800188144003,8.254520007452642,0.974408562053539,1,0,2,750,-1201.1096673437914,5,0,accepted,0,0
1297,2023-07-20,0.13280963678728047,0.02975870499260839,0.11455259505403512,0.8686933296809105,8.359699733277733,0.9832459247349457,1,0,3,750,-1143.939859584622,5,0,accepted,0,0
1322,2023-08-25,0.11141951816634374,0.03187786457691384,0.1146114241782633,0.866425699568508,8.401209157700562,0.9810371237467713,1,0,3,750,-1123.5561563615702,5,0,accepted,0,0
1347,2023-10-04,0.09773424853911385,0.027497937138393554,0.10459397356269998,0.8780240334985807,10.586665158259052,0.9826180070612807,1,0,2,750,-1104.7187942965938,5,0,accepted,0,0
