series,method,w,cal,gamma_0,coverage,width,winkler,n,n_missing,headline_config
SP500,TCP,100,40,,0.9575,5.303779394902076,6.846160890376166,1600,0,0
SP500,TCP-RM,100,40,0.005,0.9575,5.305173367498777,6.846504493764985,1600,0,0
SP500,TCP-RM,100,40,0.01,0.9575,5.30656734009548,6.846848097153802,1600,0,0
SP500,TCP-RM,100,40,0.05,0.958125,5.317180357392415,6.849314818307068,1600,0,0
SP500,TCP,100,60,,0.95125,5.50856363590851,7.433511026362631,1600,0,0
SP500,TCP-RM,100,60,0.005,0.95125,5.515261199648288,7.433906820064078,1600,0,0
SP500,TCP-RM,100,60,0.01,0.95125,5.5219587633880645,7.434302613765528,1600,0,0
SP500,TCP-RM,100,60,0.05,0.9525,5.554691423090106,7.437068100357612,1600,0,0
SP500,TCP,252,40,,0.9571823204419888,5.114457706938992,6.739506797622705,1448,0,0
SP500,TCP-RM,252,40,0.005,0.9578729281767956,5.1167706474534125,6.7393873963643,1448,0,0
SP500,TCP-RM,252,40,0.01,0.9578729281767956,5.11911715445414,6.739336813997566,1448,0,0
SP500,TCP-RM,252,40,0.05,0.9585635359116024,5.131397219265772,6.738000832848915,1448,0,0
SP500,TCP,252,60,,0.9523480662983426,5.209742497935316,7.11675325465449,1448,0,1
SP500,TCP-RM,252,60,0.005,0.9530386740331492,5.213414648772615,7.116189964220194,1448,0,1
SP500,TCP-RM,252,60,0.01,0.9530386740331492,5.217105437003865,7.115654204824993,1448,0,1
SP500,TCP-RM,252,60,0.05,0.9544198895027624,5.242148002844615,7.114928261679634,1448,0,1
SP500,TCP,500,40,,0.9508333333333332,5.395105146524,7.099543420731234,1200,0,0
SP500,TCP-RM,500,40,0.005,0.9525,5.413499607265933,7.101324548995837,1200,0,0
SP500,TCP-RM,500,40,0.01,0.9525,5.4318940680078684,7.103273504712512,1200,0,0
SP500,TCP-RM,500,40,0.05,0.9566666666666668,5.534806192650754,7.119484535917229,1200,0,0
SP500,TCP,500,60,,0.9483333333333334,5.375473254569844,7.33938954382391,1200,0,0
SP500,TCP-RM,500,60,0.005,0.9491666666666668,5.402842177654467,7.340438756486655,1200,0,0
SP500,TCP-RM,500,60,0.01,0.9508333333333332,5.429695189518075,7.34185760702173,1200,0,0
SP500,TCP-RM,500,60,0.05,0.9566666666666668,5.609460351933388,7.365141380849856,1200,0,0
BTC-USD,TCP,100,40,,0.9575,21.77922869601448,29.316683505433744,1600,0,0
BTC-USD,TCP-RM,100,40,0.005,0.9575,21.780565994922146,29.31703223968923,1600,0,0
BTC-USD,TCP-RM,100,40,0.01,0.9575,21.78190329382981,29.31738097394472,1600,0,0
BTC-USD,TCP-RM,100,40,0.05,0.9575,21.792601685091128,29.320170847988607,1600,0,0
BTC-USD,TCP,100,60,,0.954375,21.32805370277506,28.565933921715324,1600,0,0
BTC-USD,TCP-RM,100,60,0.005,0.954375,21.33110284342872,28.566370876087884,1600,0,0
BTC-USD,TCP-RM,100,60,0.01,0.954375,21.334151984082386,28.566807830460448,1600,0,0
BTC-USD,TCP-RM,100,60,0.05,0.954375,21.35854510931168,28.57030346544096,1600,0,0
BTC-USD,TCP,252,40,,0.9571823204419888,21.61214271362221,28.969031180097318,1448,0,0
BTC-USD,TCP-RM,252,40,0.005,0.9571823204419888,21.613782306460298,28.969349047797948,1448,0,0
BTC-USD,TCP-RM,252,40,0.01,0.9571823204419888,21.61542189929839,28.969666915498568,1448,0,0
BTC-USD,TCP-RM,252,40,0.05,0.9571823204419888,21.62853864200308,28.972209857103596,1448,0,0
BTC-USD,TCP,252,60,,0.9537292817679558,20.88789388441444,27.98464770211386,1448,0,1
BTC-USD,TCP-RM,252,60,0.005,0.9537292817679558,20.886891933484623,27.98489694209374,1448,0,1
BTC-USD,TCP-RM,252,60,0.01,0.9537292817679558,20.8858899825548,27.985146182073624,1448,0,1
BTC-USD,TCP-RM,252,60,0.05,0.9537292817679558,20.87838576942617,27.98714010191269,1448,0,1
BTC-USD,TCP,500,40,,0.9608333333333332,20.504810893081345,27.16333423030841,1200,0,0
BTC-USD,TCP-RM,500,40,0.005,0.9608333333333332,20.50503810311222,27.1636564647273,1200,0,0
BTC-USD,TCP-RM,500,40,0.01,0.9608333333333332,20.50526531314309,27.163978699146185,1200,0,0
BTC-USD,TCP-RM,500,40,0.05,0.9608333333333332,20.50708299339008,27.16655657449726,1200,0,0
BTC-USD,TCP,500,60,,0.955,20.12605172915195,27.087375725570435,1200,0,0
BTC-USD,TCP-RM,500,60,0.005,0.955,20.13651827418295,27.08903343483744,1200,0,0
BTC-USD,TCP-RM,500,60,0.01,0.955,20.14698481921395,27.090691144104447,1200,0,0
BTC-USD,TCP-RM,500,60,0.05,0.955,20.230717179461973,27.10395281824047,1200,0,0
Gold,TCP,100,40,,0.94875,4.641417691590761,6.010454278934116,1600,0,0
Gold,TCP-RM,100,40,0.005,0.949375,4.643704036442752,6.0107244852613135,1600,0,0
Gold,TCP-RM,100,40,0.01,0.949375,4.645990381294743,6.011010264168426,1600,0,0
Gold,TCP-RM,100,40,0.05,0.949375,4.664281140110667,6.013296495425336,1600,0,0
Gold,TCP,100,60,,0.94875,4.725624592897004,6.221728604877409,1600,0,0
Gold,TCP-RM,100,60,0.005,0.94875,4.730351412805004,6.221915027706884,1600,0,0
Gold,TCP-RM,100,60,0.01,0.94875,4.735078232713004,6.222101450536359,1600,0,0
Gold,TCP-RM,100,60,0.05,0.95,4.768722143928227,6.224119269036906,1600,0,0
Gold,TCP,252,40,,0.9454419889502762,4.775593996128866,6.1180500781997305,1448,0,0
Gold,TCP-RM,252,40,0.005,0.9461325966850828,4.781219173616194,6.117963947933473,1448,0,0
Gold,TCP-RM,252,40,0.01,0.9461325966850828,4.786844351103522,6.117956518331472,1448,0,0
