p_target,exceed,n,rate,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,DQ,p_DQ,pinball,series,model,tau,FZ0,ES_ratio,note,evaluated_at_effective_level,order_statistic_k
0.01,75,1448,0.0517955801104972,128.25971217058742,0.0,7.78284238444553,0.0052744745441767,136.04255455503295,0.0,522.5109937031294,0.0,0.0934673977559623,DAX,QR-base,0.01,,,,,
0.025,25,1448,0.0172651933701657,3.979452385479487,0.0460585349651412,0.8790888896625972,0.3484513466313161,4.858541275142084,0.0881010667625739,11.411778807405744,0.0764536688882254,0.1037455796802015,DAX,CQR-1s,0.025,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.025,128,1448,0.0883977900552486,145.82351477677832,0.0,4.149881027612196,0.0416374492902343,149.97339580439052,0.0,391.7999989262907,0.0,0.1371869373807627,DAX,QR-base,0.025,,,,,
0.05,81,1448,0.055939226519337,1.0372205808864905,0.3084687734416099,1.3135294996565108,0.2517566132006517,2.3507500805430013,0.3087031818498165,36.38075134417396,2.324528430963646e-06,0.1634136017387294,DAX,CQR-1s,0.05,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.05,195,1448,0.1346685082872928,152.4759659800305,0.0,1.088935866017664,0.2967071068491562,153.56490184604817,0.0,372.60363272901736,0.0,0.197211993153455,DAX,QR-base,0.05,,,,,
0.01,22,1448,0.0151933701657458,3.403576713327679,0.0650552135483358,0.90092285587383,0.3425343800635679,4.304499569201509,0.1162223880822294,22.56875490132079,0.000954557011107,0.0475082586783973,DAX,GARCH-t,0.01,1.464473744712314,1.0063030246016302,,,
0.025,48,1448,0.0331491712707182,3.5845234368507306,0.0583201422222887,2.812198288140962,0.0935501030184962,6.396721724991693,0.04082907362496,12.027800595093128,0.0613514732321209,0.0922771228107407,DAX,GARCH-t,0.025,1.220706371082441,1.015491769896247,,,
0.05,99,1448,0.0683701657458563,9.274595545839595,0.0023235398944291,1.5752538080211025,0.2094456708899861,10.849849353860698,0.0044053979774102,14.4571892183895,0.0249258365964832,0.1509374210195064,DAX,GARCH-t,0.05,1.0237697517260982,1.002094121440586,,,
0.01,19,1448,0.0131215469613259,1.2977494181043951,0.2546247278265576,1.3370018909185148,0.2475633835728097,2.63475130902291,0.2678372780013297,9.323708625013152,0.1561746380748269,0.0477784480689845,DAX,FHS,0.01,1.452564226714859,1.005983689634145,,,
0.025,35,1448,0.024171270718232,0.0412456716763371,0.8390644499125153,1.211716888335502,0.2709923629310499,1.2529625600118393,0.5344691434098995,5.911282670436199,0.4332013764596042,0.0915230912234551,DAX,FHS,0.025,1.197614164262876,1.0515939934267733,,,
