p_target,exceed,n,rate,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,DQ,p_DQ,pinball,series,model,tau,FZ0,ES_ratio,note,evaluated_at_effective_level,order_statistic_k
0.01,54,1448,0.037292817679558,64.2109508260495,1.1102230246251563e-15,1.671462748558099,0.1960627258662276,65.8824135746076,4.996003610813205e-15,219.2348739230975,0.0,0.3316627287767104,ETH-USD,QR-base,0.01,,,,,
0.025,28,1448,0.0193370165745856,2.063677115609148,0.1508457794210169,0.3248267498690325,0.5687212818743612,2.38850386547818,0.3029304818184049,12.489451842536848,0.0518991866252213,0.5699183529507061,ETH-USD,CQR-1s,0.025,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.025,105,1448,0.0725138121546961,89.43785775358907,0.0,0.0218197798021719,0.88256753673169,89.45967753339124,0.0,247.78257522753745,0.0,0.5368917473941361,ETH-USD,QR-base,0.025,,,,,
0.05,67,1448,0.0462707182320442,0.4343372188675936,0.5098683791875858,0.0037450339285669,0.9512025718973548,0.4380822527961605,0.8032886811042113,35.18198979847721,3.9733606407299504e-06,0.7574710470573766,ETH-USD,CQR-1s,0.05,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.05,190,1448,0.1312154696132596,141.78378094707278,0.0,0.0001426253672889,0.9904714212867038,141.78392357244007,0.0,375.3529996338876,0.0,0.8096955563614213,ETH-USD,QR-base,0.05,,,,,
0.01,16,1448,0.011049723756906,0.1558629960561939,0.6929942749535445,1.90560921955543,0.1674518104209007,2.061472215611624,0.3567442616579648,10.407525215369574,0.1085063449212475,0.2348052465007859,ETH-USD,GARCH-t,0.01,3.097115669341104,0.8511165982254048,,,
0.025,32,1448,0.0220994475138121,0.5197964897267164,0.4709285065846336,0.1124345712122476,0.7373892545215381,0.6322310609389641,0.7289752264523619,1.989068889926649,0.9207011832460004,0.4372449251777494,ETH-USD,GARCH-t,0.025,2.8006304718864308,0.9687661053208798,,,
0.05,63,1448,0.0435082872928176,1.3410697774007474,0.2468453989116327,1.6650823305649285,0.1969185125424972,3.006152107965676,0.2224448542898915,9.331905101863764,0.1557543385769705,0.6623378656354745,ETH-USD,GARCH-t,0.05,2.52666192768382,0.9854135106863342,,,
0.01,16,1448,0.011049723756906,0.1558629960561939,0.6929942749535445,0.3577992092557451,0.5497310460604337,0.5136622053119391,0.7734988446340045,11.099789685010222,0.0853408419856799,0.2417522892692856,ETH-USD,FHS,0.01,3.158622540373856,1.0020654229049395,,,
0.025,35,1448,0.024171270718232,0.0412456716763371,0.8390644499125153,1.211716888335502,0.2709923629310499,1.2529625600118393,0.5344691434098995,5.484651895106682,0.4833136698575173,0.450167289394742,ETH-USD,FHS,0.025,2.83814654205803,1.027739724331334,,,
0.05,66,1448,0.0455801104972375,0.6129244546970902,0.4336888212903177,4.3630863604863634,0.0367257105769731,4.976010815183454,0.0830755031992396,14.696500940880629,0.0227532554204571,0.6772835993340264,ETH-USD,FHS,0.05,2.5508717708427926,1.0034840858049998,,,
0.01,18,1448,0.0124309392265193,0.8023717765164502,0.3703851920825057,1.510033233892159,0.2191340152457721,2.312405010408609,0.3146789062739084,12.489190192435132,0.0519041372154719,0.2399345068576304,ETH-USD,GARCH-EVT,0.01,3.14555037755635,0.971478003342353,,,
0.025,31,1448,0.0214088397790055,0.8046706933727723,0.3697005675986389,1.8586530966107944,0.172780332733491,2.6633237899835667,0.264038092890797,5.669790071118765,0.4611773169976824,0.4460057475504593,ETH-USD,GARCH-EVT,0.025,2.8279358030977155,1.0616501145793396,,,
0.05,61,1448,0.0421270718232044,1.991658136502899,0.1581676145485878,5.866480956014584,0.0154318701855029,7.858139092517483,0.0196619585875197,17.694203445556624,0.007043610238547,0.678668416623687,ETH-USD,GARCH-EVT,0.05,2.554456273318256,1.036714552248611,,,
0.01,28,1448,0.0193370165745856,10.016337249122952,0.0015515771997002,2.4667857985019737,0.1162754835382227,12.483123047624924,0.001946813153,31.12162321637501,2.402919676025572e-05,0.2600738856539397,ETH-USD,RiskMetrics,0.01,3.4694292397076745,1.449332754467863,,,
0.025,45,1448,0.0310773480662983,2.0392696703694817,0.1532832248510384,3.522184688458424,0.0605525808287733,5.5614543588279055,0.061993410650614,16.806713429089513,0.0100204761817035,0.4394603859259486,ETH-USD,RiskMetrics,0.025,2.9015464022532704,1.3445817039952326,,,
0.05,61,1448,0.0421270718232044,1.991658136502899,0.1581676145485878,3.729476429733495,0.0534601486922845,5.721134566236394,0.0572362818776601,13.272479537590833,0.0389073289066632,0.6722387370072077,ETH-USD,RiskMetrics,0.05,2.5752163152969256,1.3594584653731012,,,
0.01,20,1448,0.0138121546961325,1.8998384497041696,0.1680964027659397,1.1785562439158357,0.2776501116749426,3.0783946936200053,0.2145532441781356,20.235628894114928,0.0025141852383649,0.2618237608355083,ETH-USD,Hist,0.01,3.3224966937132963,1.1244876899351033,,,
0.025,39,1448,0.0269337016574585,0.2167539985727131,0.6415244174799324,2.6011560855903326,0.1067857935883755,2.817910084163046,0.2443985359514008,21.72088456363159,0.0013602477730011,0.4696735595581977,ETH-USD,Hist,0.025,2.9466216903243687,1.0675584449969848,,,
0.05,75,1448,0.0517955801104972,0.0971894399711388,0.755228846590973,3.820240166871145,0.0506369795164991,3.9174296068422834,0.141039568061625,17.95653039286766,0.0063417509554061,0.6936664044621049,ETH-USD,Hist,0.05,2.621754184794085,1.0046866962964385,,,
0.01,71,1448,0.0490331491712707,114.98574813879765,0.0,3.1189134101547324,0.0773883723341585,118.10466154895236,0.0,291.2374408300786,0.0,0.3277814492979755,ETH-USD,Fixed-coefficient-control,0.01,4.875183095700734,1.4559471295617097,,,
0.025,97,1448,0.066988950276243,72.27326701913232,0.0,0.372735071882289,0.5415171812002922,72.64600209101461,2.220446049250313e-16,127.47803451058113,0.0,0.4904055457704718,ETH-USD,Fixed-coefficient-control,0.025,3.5342892180288934,1.4395185053323851,,,
0.05,127,1448,0.0877071823204419,35.73954651245204,2.2553890977050632e-09,0.8235737025969456,0.3641373668774897,36.56312021504898,1.1492627294273916e-08,55.68401779844228,3.3721891945504007e-10,0.6986366769160055,ETH-USD,Fixed-coefficient-control,0.05,2.8996655946322303,1.4421539728306123,,,
