p_target,exceed,n,rate,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,DQ,p_DQ,pinball,series,model,tau,FZ0,ES_ratio,note,evaluated_at_effective_level,order_statistic_k
0.01,69,1448,0.0476519337016574,108.52497728802584,0.0,5.504890445933597,0.0189633681085632,114.02986773395943,0.0,342.2309421720925,0.0,0.0221950008651855,EURUSD=X,QR-base,0.01,,,,,
0.025,21,1448,0.0145027624309392,7.692524472587408,0.0055450012580456,0.6185356820899983,0.4315919566313853,8.311060154677406,0.0156774786505266,17.133542813264643,0.0088047838981942,0.0352302181406414,EURUSD=X,CQR-1s,0.025,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.025,121,1448,0.0835635359116022,127.62769018733172,0.0,7.707617796154636,0.0054988270210076,135.33530798348636,0.0,349.4780878147532,0.0,0.0423281008388568,EURUSD=X,QR-base,0.025,,,,,
0.05,74,1448,0.0511049723756906,0.0369632123062966,0.8475399655506343,0.0134194555090516,0.9077774673257428,0.0503826678153482,0.975123320022929,27.01338086570747,0.0001439741041223,0.0541991109712622,EURUSD=X,CQR-1s,0.05,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.05,183,1448,0.1263812154696132,127.32519654948754,0.0,6.05824437550109,0.0138415219964576,133.38344092498863,0.0,303.0264908050748,0.0,0.0641504912024541,EURUSD=X,QR-base,0.05,,,,,
0.01,19,1448,0.0131215469613259,1.2977494181043951,0.2546247278265576,0.5056171598816093,0.4770423341853647,1.8033665779860044,0.4058858611842206,12.993383604723334,0.043141136163907,0.0155599008963255,EURUSD=X,GARCH-t,0.01,0.481563648380727,1.056618754129803,,,
0.025,43,1448,0.029696132596685,1.2369309563106992,0.2660633542116918,0.0690756067819506,0.7926874801127284,1.3060065630926498,0.5204802783063365,9.08480760172594,0.1688644300388097,0.0316493307912366,EURUSD=X,GARCH-t,0.025,0.2538054257621057,1.045252358847655,,,
0.05,76,1448,0.0524861878453038,0.1855397888503827,0.6666550323897855,0.2977225495118318,0.5853137128074,0.4832623383622145,0.7853457838692572,3.803195903120793,0.703288934250369,0.052607298139593,EURUSD=X,GARCH-t,0.05,0.057803193879347,1.042435434609282,,,
0.01,20,1448,0.0138121546961325,1.8998384497041696,0.1680964027659397,0.5606350336230435,0.454004490996286,2.4604734833272133,0.2922233880401178,17.197894859802624,0.0085828169058264,0.0159021489633438,EURUSD=X,FHS,0.01,0.518076091083702,1.0239966493863526,,,
0.025,42,1448,0.0290055248618784,0.907142388716636,0.3408737656812514,2.511406140966926,0.1130250414893117,3.4185485296835623,0.1809971009235074,11.853623825773164,0.0653150839157458,0.0320917522803025,EURUSD=X,FHS,0.025,0.2759739529459512,1.036756958381698,,,
0.05,81,1448,0.055939226519337,1.0372205808864905,0.3084687734416099,0.0521452324438769,0.8193715867207758,1.0893658133303674,0.5800256764586916,8.83388613694716,0.1831379784439147,0.052956757867101,EURUSD=X,FHS,0.05,0.067854476245293,1.0136677101514588,,,
0.01,18,1448,0.0124309392265193,0.8023717765164502,0.3703851920825057,0.4534759530334327,0.5006888850824682,1.2558477295498829,0.533698682225503,16.61737407819708,0.010797250792675,0.015804638654523,EURUSD=X,GARCH-EVT,0.01,0.5078133293748333,1.0282623179714758,,,
0.025,42,1448,0.0290055248618784,0.907142388716636,0.3408737656812514,2.511406140966926,0.1130250414893117,3.4185485296835623,0.1809971009235074,13.830868104276153,0.0315835913550397,0.0319323198164881,EURUSD=X,GARCH-EVT,0.025,0.2679853320714718,1.0280590080316627,,,
