p_target,exceed,n,rate,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,DQ,p_DQ,pinball,series,model,tau,FZ0,ES_ratio,note,evaluated_at_effective_level,order_statistic_k
0.01,77,1448,0.0531767955801105,135.06691062716445,0.0,9.30768009667372,0.0022819524623873,144.37459072383817,0.0,589.6483264015509,0.0,0.0321443870326298,GBPUSD=X,QR-base,0.01,,,,,
0.025,29,1448,0.0200276243093922,1.5743860668031004,0.2095711920800566,1.1862604168443909,0.2760851743817475,2.7606464836474918,0.2514972454911615,20.66364676117552,0.0021080684156885,0.0471534608023505,GBPUSD=X,CQR-1s,0.025,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.025,121,1448,0.0835635359116022,127.62769018733172,0.0,4.789648411534813,0.0286312702872354,132.41733859886654,0.0,418.3529639845003,0.0,0.0560414078633443,GBPUSD=X,QR-base,0.025,,,,,
0.05,72,1448,0.0497237569060773,0.0023303275209887,0.961498300946364,0.110489334663157,0.7395877215928415,0.1128196621841457,0.945151703949987,33.991938068312855,6.751555811312926e-06,0.0712721472365839,GBPUSD=X,CQR-1s,0.05,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.05,188,1448,0.1298342541436464,137.59134734907244,0.0,5.530600338493514,0.0186866926236219,143.12194768756595,0.0,361.26443430318864,0.0,0.0838158875842941,GBPUSD=X,QR-base,0.05,,,,,
0.01,21,1448,0.0145027624309392,2.603369750031634,0.1066367641364083,0.6185356820899983,0.4315919566313853,3.2219054321216323,0.1996972686218396,7.231692835479906,0.2999509891026947,0.0200992096279113,GBPUSD=X,GARCH-t,0.01,0.6452759793891321,1.0188047232263688,,,
0.025,43,1448,0.029696132596685,1.2369309563106992,0.2660633542116918,0.3731404051073923,0.5412974348233404,1.6100713614180917,0.4470719744297246,4.97235904719314,0.5473631517854449,0.0403933739878232,GBPUSD=X,GARCH-t,0.025,0.4511796778296905,1.0473544837321864,,,
0.05,80,1448,0.0552486187845303,0.8133201374701251,0.3671404681513208,0.0813040956919621,0.7755378583937852,0.8946242331620873,0.63934432716463,3.3390567976225825,0.7652445760045349,0.0665855629717355,GBPUSD=X,GARCH-t,0.05,0.2646328329673106,1.0409096881090218,,,
0.01,21,1448,0.0145027624309392,2.603369750031634,0.1066367641364083,0.6185356820899983,0.4315919566313853,3.2219054321216323,0.1996972686218396,9.916304912494596,0.1282211381171465,0.0205662856455667,GBPUSD=X,FHS,0.01,0.6873312561536973,1.0287061130938668,,,
0.025,42,1448,0.0290055248618784,0.907142388716636,0.3408737656812514,0.4489186451166915,0.5028489203372898,1.3560610338333277,0.5076157491562492,5.234595317871987,0.5140958096751622,0.0405376640870934,GBPUSD=X,FHS,0.025,0.4598617493232492,1.0580619682489147,,,
0.05,75,1448,0.0517955801104972,0.0971894399711388,0.755228846590973,0.3277523253567551,0.5669856073286501,0.4249417653278939,0.8085838597866617,3.685161549716049,0.7191937202972298,0.0666821521308088,GBPUSD=X,FHS,0.05,0.2664771947282162,1.0528430060855751,,,
0.01,19,1448,0.0131215469613259,1.2977494181043951,0.2546247278265576,0.5056171598816093,0.4770423341853647,1.8033665779860044,0.4058858611842206,5.753610662566839,0.4513490565773049,0.0203051164487885,GBPUSD=X,GARCH-EVT,0.01,0.6753984509204684,1.060770530716798,,,
0.025,43,1448,0.029696132596685,1.2369309563106992,0.2660633542116918,0.0690756067819506,0.7926874801127284,1.3060065630926498,0.5204802783063365,4.639466629879518,0.5908127103127663,0.0404471175527016,GBPUSD=X,GARCH-EVT,0.025,0.4553361166659537,1.0418928612394087,,,
0.05,74,1448,0.0511049723756906,0.0369632123062966,0.8475399655506343,0.0134194555090516,0.9077774673257428,0.0503826678153482,0.975123320022929,3.684778478089618,0.7192452249955144,0.0667051987554513,GBPUSD=X,GARCH-EVT,0.05,0.2669974118282432,1.0536841277402422,,,
0.01,31,1448,0.0214088397790055,14.346680050915744,0.0001520475738183,0.1543582086362107,0.694404810567159,14.501038259551954,0.000709805811849,27.734811090588675,0.0001054054393399,0.0209771462715426,GBPUSD=X,RiskMetrics,0.01,0.7799480453769418,1.1491355461964594,,,
0.025,51,1448,0.0352209944751381,5.517878878923696,0.0188230687761605,0.4484042805383978,0.503093711739858,5.966283159462094,0.0506335145157988,28.614276241628648,7.196087581984312e-05,0.0407660420474423,GBPUSD=X,RiskMetrics,0.025,0.4947431592518732,1.161529768935788,,,
0.05,76,1448,0.0524861878453038,0.1855397888503827,0.6666550323897855,0.2647558778451184,0.6068714683634208,0.4502956666955011,0.7983981801587604,15.56225855516422,0.0163066706698675,0.0665031548685747,GBPUSD=X,RiskMetrics,0.05,0.2726575189321699,1.1616369566084617,,,
0.01,32,1448,0.0220994475138121,15.924922255280087,6.590517299009946e-05,1.6804843785001822,0.1948601024428278,17.60540663378027,0.0001503261461044,100.08891516523884,0.0,0.0218801901880069,GBPUSD=X,Hist,0.01,0.8658126888913983,1.010041721979044,,,
0.025,44,1448,0.0303867403314917,1.614658832887228,0.2038381483494517,1.654014234967633,0.1984134516948452,3.268673067854861,0.1950817585005694,39.79364137508336,5.000856714287849e-07,0.0422536105185521,GBPUSD=X,Hist,0.025,0.552992215959594,1.1094678643600806,,,
0.05,77,1448,0.0531767955801105,0.3016644126757626,0.5828408601689659,9.30768009667372,0.0022819524623873,9.609344509349484,0.0081913852627023,33.494819678295904,8.419938888115652e-06,0.0688840624405147,GBPUSD=X,Hist,0.05,0.3355573601769206,1.0679774524406116,,,
0.01,77,1448,0.0531767955801105,135.06691062716445,0.0,0.3581860720018994,0.5495153745236825,135.42509669916635,0.0,317.6844800389776,0.0,0.0299249934586744,GBPUSD=X,Fixed-coefficient-control,0.01,2.0789806043860057,1.285192415560637,,,
0.025,120,1448,0.0828729281767955,125.09937858729654,0.0,0.1112019390084242,0.738779872928871,125.21058052630497,0.0,239.33347160394183,0.0,0.0487932028484757,GBPUSD=X,Fixed-coefficient-control,0.025,1.1235028623865593,1.2727480932224604,,,
0.05,170,1448,0.117403314917127,102.11597370958816,0.0,0.5909491129823436,0.4420523371372358,102.7069228225705,0.0,157.03910839460033,0.0,0.0733130550308854,GBPUSD=X,Fixed-coefficient-control,0.05,0.6458144940475609,1.2640040532803936,,,
0.025,44,1448,0.0303867403314917,1.614658832887228,0.2038381483494517,0.3049215780259828,0.5808133577807673,1.9195804109132109,0.3829732232401596,52.48969455107481,1.4863842379142511e-09,0.0445380517856023,GBPUSD=X,TCP,0.025,,,,,
0.025,44,1448,0.0303867403314917,1.614658832887228,0.2038381483494517,0.3049215780259828,0.5808133577807673,1.9195804109132109,0.3829732232401596,52.49909841706098,1.4799217407102103e-09,0.044532637570634,GBPUSD=X,TCP-RM,0.025,,,,,
0.025,47,1448,0.0324585635359116,3.0251468050929944,0.0819829011202923,0.2194733280295508,0.6394415092948418,3.2446201331225453,0.1974420675440318,44.99734702816205,4.6858968927310236e-08,0.044527833127835,GBPUSD=X,ACI-fixed,0.025,,,,,
0.025,109,1448,0.0752762430939226,98.51915161504344,0.0,8.807392882176714,0.0030001241618963,107.32654449722014,0.0,374.9087444632239,0.0,0.0548283028954824,GBPUSD=X,Reversed-sign-control,0.025,,,,,
0.025,44,1448,0.0303867403314917,1.614658832887228,0.2038381483494517,0.3049215780259828,0.5808133577807673,1.9195804109132109,0.3829732232401596,52.370925632429696,1.5704665345950275e-09,0.0445421500494026,GBPUSD=X,CQR,0.025,,,,,
0.016393442622950838,29,1448,0.020027624309392266,1.1082817283676487,0.2924557678386115,1.1862604168443909,0.2760851743817475,2.2945421452120396,0.3175020282102483,30.290455774323238,3.461245126890056e-05,0.03328955411924025,GBPUSD=X,CQR-1s-at-effective-level,0.025,,,,0.016393442622950838,60.0
0.049180327868852514,72,1448,0.049723756906077346,0.0091128351625549,0.9239485304477043,0.11048933466315702,0.7395877215928415,0.11960216982571192,0.9419518833912497,34.54241421683394,5.284616975020917e-06,0.07041508327810345,GBPUSD=X,CQR-1s-at-effective-level,0.05,,,,0.049180327868852514,58.0
