p_target,exceed,n,rate,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,DQ,p_DQ,pinball,series,model,tau,FZ0,ES_ratio,note,evaluated_at_effective_level,order_statistic_k
0.01,98,1448,0.0676795580110497,212.7144346945983,0.0,0.8837510150127628,0.3471763607847457,213.59818570961107,0.0,704.7948450921232,0.0,0.0343266087186102,JPYUSD=X,QR-base,0.01,,,,,
0.025,26,1448,0.0179558011049723,3.2634621206274588,0.070839415854975,0.9514957403445125,0.3293388615100875,4.214957860971971,0.121544001380094,14.127664863502506,0.0282421370548502,0.042589820193456,JPYUSD=X,CQR-1s,0.025,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.025,143,1448,0.098756906077348,187.59367428451125,0.0,0.0646148472227423,0.7993452943004211,187.658289131734,0.0,442.4875662479852,0.0,0.0548048252126976,JPYUSD=X,QR-base,0.025,,,,,
0.05,84,1448,0.0580110497237569,1.8646591658441167,0.1720880274362052,2.400714135013118,0.1212798743615328,4.2653733008572345,0.1185184480912838,27.916719692446723,9.741726544731932e-05,0.068216625770064,JPYUSD=X,CQR-1s,0.05,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.05,192,1448,0.1325966850828729,146.02467988898923,0.0,0.115330910639841,0.7341547279218699,146.14001079962907,0.0,298.2600750235012,0.0,0.0807449541488218,JPYUSD=X,QR-base,0.05,,,,,
0.01,21,1448,0.0145027624309392,2.603369750031634,0.1066367641364083,1.0335295361497003,0.309331120410654,3.6368992861813343,0.1622771435000779,9.781900299198597,0.1341422619154972,0.0186125863845896,JPYUSD=X,GARCH-t,0.01,0.6008542553925299,0.9513752209775496,,,
0.025,43,1448,0.029696132596685,1.2369309563106992,0.2660633542116918,0.3731404051073923,0.5412974348233404,1.6100713614180917,0.4470719744297246,4.704967301254173,0.5821708739494877,0.0384344230558872,JPYUSD=X,GARCH-t,0.025,0.4051924951914096,0.9976410910234444,,,
0.05,73,1448,0.0504143646408839,0.0052204385228151,0.9424008840321332,1.006711434012573,0.3156919686819304,1.011931872535388,0.602922908958621,10.90394955521743,0.0913907373602938,0.0631279200592255,JPYUSD=X,GARCH-t,0.05,0.2099296173531111,1.0405970236365094,,,
0.01,24,1448,0.0165745856353591,5.27706398029683,0.021608155698751,0.8095956580909558,0.3682398215005857,6.086659638387786,0.0476758728562767,25.488170555606995,0.0002772099291608,0.0190884737440807,JPYUSD=X,FHS,0.01,0.6474237997607628,1.0208666709128993,,,
0.025,40,1448,0.0276243093922651,0.3958640892072997,0.5292329808102174,0.0110321970360587,0.9163486187488028,0.4068962862433585,0.8159125139015966,3.781989431416996,0.7061509279776402,0.0386859796037488,JPYUSD=X,FHS,0.025,0.415563111390807,1.079774122424657,,,
0.05,85,1448,0.0587016574585635,2.191408162106786,0.1387823851485384,1.0311106053417234,0.3098979611074111,3.222518767448509,0.1996360373163869,11.113671325138842,0.0849261766969716,0.063026548949595,JPYUSD=X,FHS,0.05,0.2056985658144439,1.0208098147867035,,,
0.01,21,1448,0.0145027624309392,2.603369750031634,0.1066367641364083,0.6185356820899983,0.4315919566313853,3.2219054321216323,0.1996972686218396,11.248911965154068,0.0809814820586204,0.0190401632894933,JPYUSD=X,GARCH-EVT,0.01,0.6447806381716589,1.061493300201025,,,
0.025,40,1448,0.0276243093922651,0.3958640892072997,0.5292329808102174,0.0110321970360587,0.9163486187488028,0.4068962862433585,0.8159125139015966,3.691355840556112,0.7183607700532808,0.0385194659800866,JPYUSD=X,GARCH-EVT,0.025,0.4106161819681828,1.0765735996505257,,,
0.05,79,1448,0.0545580110497237,0.6158823335703794,0.4325815650686512,0.4951437575138016,0.481641720341701,1.111026091084181,0.5737778115214967,11.110462627099876,0.085021861705051,0.0628586831144812,JPYUSD=X,GARCH-EVT,0.05,0.2029627625225813,1.0431536260181844,,,
0.01,28,1448,0.0193370165745856,10.016337249122952,0.0015515771997002,0.3248267498690325,0.5687212818743612,10.341163998991984,0.0056812613655934,17.665342004653862,0.0071252759357454,0.0183497617764715,JPYUSD=X,RiskMetrics,0.01,0.6785216770694548,1.0882433735356136,,,
0.025,45,1448,0.0310773480662983,2.0392696703694817,0.1532832248510384,0.2440599270432812,0.6212890766873334,2.283329597412763,0.3192870304746268,7.057832342809573,0.3155320168965329,0.0370477436645305,JPYUSD=X,RiskMetrics,0.025,0.4010428673151621,1.1166609162001495,,,
0.05,76,1448,0.0524861878453038,0.1855397888503827,0.6666550323897855,0.2977225495118318,0.5853137128074,0.4832623383622145,0.7853457838692572,8.61221345612605,0.1965899049924722,0.0616242081048008,JPYUSD=X,RiskMetrics,0.05,0.196999670001585,1.1218721645326168,,,
0.01,28,1448,0.0193370165745856,10.016337249122952,0.0015515771997002,0.3248267498690325,0.5687212818743612,10.341163998991984,0.0056812613655934,32.1651367694191,1.517020148245063e-05,0.0215083510877905,JPYUSD=X,Hist,0.01,0.8633010096564446,1.1303566978675186,,,
0.025,60,1448,0.0414364640883977,13.437745275374624,0.0002466118373695,2.1832412382999564,0.1395203593575318,15.62098651367458,0.000405458003555,48.18435448204959,1.085516154741839e-08,0.0416181549950667,JPYUSD=X,Hist,0.025,0.5566734766083896,1.0799276904966115,,,
0.05,87,1448,0.0600828729281767,2.919625533859076,0.0875081695425381,2.593506107489816,0.1073025714553705,5.513131641348892,0.0635094972881278,18.79281015506421,0.0045282366463937,0.066427925652946,JPYUSD=X,Hist,0.05,0.3069840592423716,1.097524802286329,,,
0.01,85,1448,0.0587016574585635,163.36754831208646,0.0,1.0311106053417234,0.3098979611074111,164.39865891742818,0.0,415.9641721321113,0.0,0.0269960649760167,JPYUSD=X,Fixed-coefficient-control,0.01,1.9737407703533705,1.217793141117383,,,
0.025,127,1448,0.0877071823204419,143.1716952972632,0.0,0.0023224528573564,0.9615633582089314,143.17401775012056,0.0,250.1719716875862,0.0,0.0460634167451249,JPYUSD=X,Fixed-coefficient-control,0.025,1.0881051197634948,1.2121532932528185,,,
0.05,170,1448,0.117403314917127,102.11597370958816,0.0,0.0670385138607798,0.7956985347794655,102.18301222344894,0.0,154.4322499116818,0.0,0.0698556105637135,JPYUSD=X,Fixed-coefficient-control,0.05,0.6035760869069113,1.2458665012578345,,,
0.025,43,1448,0.029696132596685,1.2369309563106992,0.2660633542116918,0.3731404051073923,0.5412974348233404,1.6100713614180917,0.4470719744297246,16.83678340224902,0.0099021825598469,0.0398418882837817,JPYUSD=X,TCP,0.025,,,,,
0.025,43,1448,0.029696132596685,1.2369309563106992,0.2660633542116918,0.3731404051073923,0.5412974348233404,1.6100713614180917,0.4470719744297246,16.703867850795937,0.0104354596594349,0.0398253300889992,JPYUSD=X,TCP-RM,0.025,,,,,
0.025,48,1448,0.0331491712707182,3.5845234368507306,0.0583201422222887,0.2695235249244661,0.6036515749629348,3.8540469617751967,0.145580878491247,27.27501805487346,0.0001285972570774,0.0411613643108711,JPYUSD=X,ACI-fixed,0.025,,,,,
0.025,137,1448,0.0946132596685082,170.4471878167177,0.0,7.919976155790209e-05,0.9928993800896244,170.44726701647926,0.0,398.6758327192976,0.0,0.0554758233884131,JPYUSD=X,Reversed-sign-control,0.025,,,,,
0.025,43,1448,0.029696132596685,1.2369309563106992,0.2660633542116918,0.3731404051073923,0.5412974348233404,1.6100713614180917,0.4470719744297246,17.04243623406583,0.0091285436932314,0.0399262935017516,JPYUSD=X,CQR,0.025,,,,,
0.016393442622950838,26,1448,0.017955801104972375,0.21266028563726636,0.6446902421413291,0.9514957403445123,0.3293388615100875,1.1641560259817787,0.5587360985083982,17.20779788881901,0.008549142626227635,0.029800731939757862,JPYUSD=X,CQR-1s-at-effective-level,0.025,,,,0.016393442622950838,60.0
0.049180327868852514,84,1448,0.058011049723756904,2.2888434985706922,0.1303069856123471,2.400714135013118,0.12127987436153287,4.68955763358381,0.09586840426684462,28.79195640138338,6.660686881421185e-05,0.06739903152011671,JPYUSD=X,CQR-1s-at-effective-level,0.05,,,,0.049180327868852514,58.0
