p_target,exceed,n,rate,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,DQ,p_DQ,pinball,series,model,tau,FZ0,ES_ratio,note,evaluated_at_effective_level,order_statistic_k
0.01,58,1448,0.0400552486187845,75.26504984687143,0.0,1.0262144791793162,0.3110494389804059,76.29126432605075,0.0,227.4981764193737,0.0,0.37313039859714,LTC-USD,QR-base,0.01,,,,,
0.025,23,1448,0.0158839779005524,5.659048529412015,0.0173655411649485,0.7430098357455961,0.388698423028915,6.402058365157611,0.040720273808759,15.857608051778532,0.014538994554848,0.6342837678189153,LTC-USD,CQR-1s,0.025,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.025,110,1448,0.0759668508287292,100.83950737627411,0.0,0.8542880584797103,0.3553420903627495,101.69379543475384,0.0,308.42827415362365,0.0,0.6368702903705578,LTC-USD,QR-base,0.025,,,,,
0.05,74,1448,0.0511049723756906,0.0369632123062966,0.8475399655506343,0.3977876036160523,0.5282340479114687,0.434750815922349,0.8046278488990873,50.130780498935934,4.425644739569634e-09,0.8630406539364935,LTC-USD,CQR-1s,0.05,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.05,166,1448,0.1146408839779005,94.80585861363846,0.0,0.0001270826228392,0.9910055637536064,94.8059856962613,0.0,256.0301014838942,0.0,0.8906076373257897,LTC-USD,QR-base,0.05,,,,,
0.01,14,1448,0.0096685082872928,0.0162510997340095,0.8985606589868602,0.2735563406341725,0.6009560643206435,0.289807440368182,0.865105581307301,5.857142208031339,0.4393820593929621,0.2520874340319504,LTC-USD,GARCH-t,0.01,3.187192510383525,0.8387570822610239,,,
0.025,39,1448,0.0269337016574585,0.2167539985727131,0.6415244174799324,2.160787715580568,0.1415720981757477,2.3775417141532813,0.304595425382327,2.7174442509021475,0.8433825450239826,0.4810078417051699,LTC-USD,GARCH-t,0.025,2.9179162011564688,0.8931407364828832,,,
0.05,77,1448,0.0531767955801105,0.3016644126757626,0.5828408601689659,0.0026036162294076,0.959305087110978,0.3042680289051702,0.8588731716102188,2.231932640442328,0.8971800045932754,0.7547115748886005,LTC-USD,GARCH-t,0.05,2.679139379410913,0.9410469374710732,,,
0.01,15,1448,0.0103591160220994,0.0186430737486169,0.8913946884509993,0.31425155695797,0.5750829032526132,0.332894630706587,0.8466674221344378,7.30678960158864,0.2934048529048905,0.2569709203993875,LTC-USD,FHS,0.01,3.22594347181425,1.0469837855174366,,,
0.025,35,1448,0.024171270718232,0.0412456716763371,0.8390644499125153,1.7353052058273306,0.1877347893193388,1.7765508775036678,0.4113645647690729,2.896227774345864,0.821754154957411,0.4859997376807886,LTC-USD,FHS,0.025,2.9381175469735976,1.0560709554653955,,,
0.05,71,1448,0.0490331491712707,0.0286723759267717,0.8655377140724431,0.077615301476726,0.7805554747108441,0.1062876774034977,0.948243608542856,2.848196968469292,0.8276443745271923,0.7629544862809787,LTC-USD,FHS,0.05,2.693006768893428,1.0090073387241247,,,
0.01,16,1448,0.011049723756906,0.1558629960561939,0.6929942749535445,0.3577992092557451,0.5497310460604337,0.5136622053119391,0.7734988446340045,5.496724985505046,0.4818526231499701,0.2548838066544797,LTC-USD,GARCH-EVT,0.01,3.210623956282725,1.056855391977115,,,
