p_target,exceed,n,rate,LR_uc,p_uc,LR_ind,p_ind,LR_cc,p_cc,DQ,p_DQ,pinball,series,model,tau,FZ0,ES_ratio,note,evaluated_at_effective_level,order_statistic_k
0.01,78,1448,0.0538674033149171,138.51183053842385,0.0,6.698406422136259,0.0096499121415011,145.2102369605601,0.0,623.7541791020698,0.0,0.0890820387642641,SP500,QR-base,0.01,,,,,
0.025,31,1448,0.0214088397790055,0.8046706933727723,0.3697005675986389,0.1543582086362107,0.694404810567159,0.959028902008983,0.6190839144137905,6.128907636368347,0.4089059117091727,0.1041947081999326,SP500,CQR-1s,0.025,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.025,120,1448,0.0828729281767955,125.09937858729654,0.0,0.1112019390084242,0.738779872928871,125.21058052630497,0.0,344.6327766250544,0.0,0.1386414993843685,SP500,QR-base,0.025,,,,,
0.05,73,1448,0.0504143646408839,0.0052204385228151,0.9424008840321332,2.6880393832921072,0.1011041488341325,2.693259821814922,0.2601153972365002,18.13109431041287,0.0059128004827134,0.1660824278633023,SP500,CQR-1s,0.05,,,requested level; exchangeable split-conformal bound is listed in conformal_effective_levels.csv,,
0.05,181,1448,0.125,123.30590400595705,0.0,0.3134232686700215,0.5755870888296815,123.61932727462708,0.0,289.29404854672646,0.0,0.1946372914182062,SP500,QR-base,0.05,,,,,
0.01,22,1448,0.0151933701657458,3.403576713327679,0.0650552135483358,0.90092285587383,0.3425343800635679,4.304499569201509,0.1162223880822294,13.535256807253806,0.0352811022234391,0.0452264221288938,SP500,GARCH-t,0.01,1.5240635435729415,1.1537709199945685,,,
0.025,56,1448,0.0386740331491712,9.543763450636682,0.0020062994362934,0.0143102355234532,0.9047799005708438,9.558073686160135,0.0084040895276107,16.32677793443786,0.0121034469563297,0.0870797151236106,SP500,GARCH-t,0.025,1.214932035267527,1.0216140806911589,,,
0.05,109,1448,0.0752762430939226,16.975418840907466,3.786691361817862e-05,0.0864350772744728,0.76875910250421,17.06185391818194,0.0001972720220509,33.70233046617444,7.678843131242452e-06,0.1445142661077132,SP500,GARCH-t,0.05,0.9916447173626932,1.0097397411736255,,,
0.01,21,1448,0.0145027624309392,2.603369750031634,0.1066367641364083,1.0335295361497003,0.309331120410654,3.6368992861813343,0.1622771435000779,14.727126310957694,0.0224886089257577,0.0465592565579885,SP500,FHS,0.01,1.505179217505438,1.01834790208055,,,
0.025,36,1448,0.0248618784530386,0.001135344243106,0.9731204700493534,0.0123409786015145,0.911545012402941,0.0134763228446205,0.9932844890845554,2.6169957846956957,0.8551510585500511,0.086782085896968,SP500,FHS,0.025,1.1828226844044156,1.014528600776383,,,
0.05,78,1448,0.0538674033149171,0.4452225819989959,0.5046124489016053,0.1595005609611917,0.6896167548628127,0.6047231429601876,0.7390707896535833,3.9996359356838567,0.6767256869302691,0.142130623439472,SP500,FHS,0.05,0.9553836376775032,0.9380838315549024,,,
0.01,16,1448,0.011049723756906,0.1558629960561939,0.6929942749535445,1.90560921955543,0.1674518104209007,2.061472215611624,0.3567442616579648,12.124490602558488,0.0592485026882153,0.0461521718498186,SP500,GARCH-EVT,0.01,1.482375331819785,1.0582416322534445,,,
0.025,34,1448,0.0234806629834254,0.1399220616151435,0.7083585058758617,0.0493124017936565,0.8242640941099519,0.1892344634088001,0.9097210802217502,3.775805666962924,0.7069851581983025,0.0870740140938109,SP500,GARCH-EVT,0.025,1.180124880902401,1.0421510747884415,,,
0.05,74,1448,0.0511049723756906,0.0369632123062966,0.8475399655506343,0.0134194555090516,0.9077774673257428,0.0503826678153482,0.975123320022929,1.7508102462321724,0.9411316124264048,0.1415611144007808,SP500,GARCH-EVT,0.05,0.9537851865854317,0.9450158258180636,,,
0.01,37,1448,0.0255524861878453,24.73871195537748,6.565217502974008e-07,0.0031779243077494,0.9550446007668651,24.741889879685232,4.24000995924434e-06,50.44402237065482,3.829595307536238e-09,0.0513056973891319,SP500,RiskMetrics,0.01,1.7925753464014904,1.185154558807397,,,
0.025,57,1448,0.0393646408839779,10.46306679480395,0.0012178492780069,0.0300801527944258,0.8623084881805373,10.493146947598376,0.0052655299994526,25.0061283105257,0.0003405636312183,0.0946715156514424,SP500,RiskMetrics,0.025,1.3269253502675502,1.2161203667101017,,,
0.05,88,1448,0.0607734806629834,3.3205551230336745,0.0684187231369014,0.0860518900852866,0.7692576776799822,3.406607013118961,0.1820810235628093,12.869777596323498,0.0451511332947989,0.1508132048160749,SP500,RiskMetrics,0.05,1.0432519235762128,1.2031228125287752,,,
0.01,27,1448,0.018646408839779,8.715364104565456,0.0031553939242419,10.557458480098546,0.0011572019657137,19.272822584664,6.53070024519975e-05,156.15395084890682,0.0,0.0654386779143693,SP500,Hist,0.01,1.9261140640511163,1.1760878988631631,,,
0.025,50,1448,0.0345303867403314,4.831721958986961,0.0279407108115172,4.543777395248071,0.0330386082829715,9.375499354235032,0.0092073824442477,119.02443827006714,0.0,0.1185034417488854,SP500,Hist,0.025,1.5504126901912036,1.199656716274125,,,
0.05,78,1448,0.0538674033149171,0.4452225819989959,0.5046124489016053,6.698406422136259,0.0096499121415011,7.143629004135255,0.028104811147976,84.24190015583271,4.440892098500626e-16,0.177201345558757,SP500,Hist,0.05,1.2571077692722308,1.183466874202951,,,
0.01,92,1448,0.0635359116022099,189.44941455581628,0.0,0.2447350598442881,0.620806928229829,189.69414961566056,0.0,463.5027526071135,0.0,0.0714427192072618,SP500,Fixed-coefficient-control,0.01,3.4192360221416656,1.291720149097338,,,
0.025,124,1448,0.0856353591160221,135.3203074260013,0.0,0.5994964210724447,0.4387702287788586,135.91980384707375,0.0,260.39006005222546,0.0,0.112699360478037,SP500,Fixed-coefficient-control,0.025,2.125331046528339,1.3313576328029215,,,
0.05,160,1448,0.1104972375690607,84.25042307103004,0.0,4.453082908260853,0.0348382996738078,88.7035059792909,0.0,138.03463800050258,0.0,0.1631279407295044,SP500,Fixed-coefficient-control,0.05,1.473855803021896,1.351761127604716,,,
0.025,49,1448,0.0338397790055248,4.186998321430412,0.0407351622183936,0.9499027194198106,0.3297440604814209,5.136901040850223,0.076654227612367,23.08790353155438,0.0007675656158443,0.1045788672242225,SP500,TCP,0.025,,,,,
0.025,48,1448,0.0331491712707182,3.5845234368507306,0.0583201422222887,1.0730144426054835,0.3002655459882472,4.657537879456214,0.0974155977749713,22.91467962896968,0.0008255639953098,0.1045350192768378,SP500,TCP-RM,0.025,,,,,
0.025,55,1448,0.0379834254143646,8.661613072239007,0.0032498348055494,0.7517641599827698,0.3859182614549463,9.413377232221777,0.0090346452822658,27.49856837881149,0.0001167522987093,0.103222184364582,SP500,ACI-fixed,0.025,,,,,
0.025,103,1448,0.0711325966850828,85.0197309265568,0.0,0.4144526446268628,0.5197181267205073,85.43418357118367,0.0,270.37767228120885,0.0,0.1353714224882963,SP500,Reversed-sign-control,0.025,,,,,
0.025,50,1448,0.0345303867403314,4.831721958986961,0.0279407108115172,0.8351719791651249,0.3607812480611263,5.666893938152086,0.0588097883687278,23.417158626918837,0.0006681490132949,0.1046694952691231,SP500,CQR,0.025,,,,,
0.016393442622950838,31,1448,0.021408839779005526,2.0616980193071477,0.15104177821579512,0.15435820863621075,0.694404810567159,2.2160562279433584,0.3302094549251302,10.453926534188842,0.10679223350693567,0.07356883803777586,SP500,CQR-1s-at-effective-level,0.025,,,,0.016393442622950838,60.0
0.049180327868852514,73,1448,0.05041436464088398,0.04678643158833484,0.8287525729145352,2.6880393832921072,0.10110414883413255,2.734825814880442,0.25476520888608256,18.466181561089982,0.005166910671543623,0.1641929671617334,SP500,CQR-1s-at-effective-level,0.05,,,,0.049180327868852514,58.0
