model,coverage_mad,mean_winkler_rank,tcp_better,no_difference,competitor_better
TCP,0.003431789205269875,6.461538461538462,0,0,0
TCP-RM,0.003484912877178072,6.461538461538462,1,12,0
CQR,0.003272418189545259,7.230769230769231,0,13,0
ACI-fixed,0.006045473863153376,7.0,2,11,0
QR-base,0.11670208244793878,11.846153846153847,13,0,0
GARCH-t,0.0054504887377815935,2.1538461538461537,0,2,11
FHS,0.006024224394390107,3.076923076923077,0,3,10
GARCH-EVT,0.005206119847003827,2.3846153846153846,0,3,10
RiskMetrics,0.014704632384190362,2.769230769230769,0,2,11
Hist,0.0148108797280068,7.6923076923076925,2,9,2
Reversed-sign-control,0.09518699532511682,11.153846153846153,13,0,0
Fixed-coefficient-control,0.11271780705482358,9.76923076923077,7,6,0
